fecha,campaña,tipo,concepto,cliente_proveedor,importe,moneda,vencimiento,estado,banco_caja,categoria_flujo
2023-03-01,2023,Egreso,Mano de obra empaque,Energía Tucumán SA,469327.49,ARS,2023-03-11,Pagado,Banco Galicia,Operaciones
2023-03-01,2023,Egreso,Mantenimiento líneas,Envases del Tucumán,547612.75,ARS,2023-03-07,Pendiente,Banco Galicia,Operaciones
2023-03-01,2023,Egreso,Maquinaria,Servicios Rurales del NOA,844819.32,ARS,2023-03-08,Pagado,Banco Galicia,Operaciones
2023-03-01,2023,Egreso,Promoción comercial,Broker Comercial Citrus,99116.03,ARS,2023-03-10,Pendiente,Banco BBVA,Operaciones
2023-03-01,2023,Egreso,Riego,Agroinsumos SA,790305.16,ARS,2023-03-18,Pagado,Banco BBVA,Operaciones
2023-03-01,2023,Egreso,Seguros,Contaduría Castillo,632167.34,ARS,2023-03-21,Pagado,Banco Nación,Operaciones
2023-03-01,2023,Egreso,Sueldos administración,AFIP,584406.69,ARS,2023-03-12,Pagado,Banco BBVA,Impuestos
2023-03-01,2023,Egreso,Viajes comerciales,Broker Comercial Citrus,37783.77,ARS,2023-03-13,Pagado,Banco BBVA,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Al Salam Trading,387100.77,ARS,2023-03-22,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Al Salam Trading,183391.95,ARS,2023-04-10,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Al Salam Trading,320436.39,ARS,2023-04-03,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Citrus World Ltd,400261.83,ARS,2023-03-20,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Citrus World Ltd,243939.54,ARS,2023-04-02,Cobrado,Banco BBVA,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Citrus World Ltd,716843.47,ARS,2023-03-31,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Citrus World Ltd,509181.17,ARS,2023-03-20,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Citrus World Ltd,270568.65,ARS,2023-03-19,Cobrado,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Fischer Import GmbH,599566.71,ARS,2023-04-10,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Fischer Import GmbH,541593.87,ARS,2023-03-23,Cobrado,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Fischer Import GmbH,723046.46,ARS,2023-03-23,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Fischer Import GmbH,374442.39,ARS,2023-03-24,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Fischer Import GmbH,568335.04,ARS,2023-03-22,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Medifresh SA,246626.77,ARS,2023-03-29,Cobrado,Banco BBVA,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Medifresh SA,504325.25,ARS,2023-03-24,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Exportación,Medifresh SA,163420.78,ARS,2023-03-23,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Citromax SA,28915.56,ARS,2023-03-26,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Citromax SA,36658.93,ARS,2023-04-08,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Citromax SA,51748.09,ARS,2023-03-27,Cobrado,Banco BBVA,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Citromax SA,27355.48,ARS,2023-03-31,Cobrado,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Citromax SA,29894.98,ARS,2023-03-31,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Citromax SA,27068.81,ARS,2023-04-04,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,24990.0,ARS,2023-04-03,Cobrado,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,27243.09,ARS,2023-04-03,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,51826.09,ARS,2023-03-21,Pendiente,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,37547.99,ARS,2023-04-03,Cobrado,Banco BBVA,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,118172.84,ARS,2023-03-16,Cobrado,Banco BBVA,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,156733.75,ARS,2023-03-13,Cobrado,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,81112.87,ARS,2023-03-22,Pendiente,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,132355.74,ARS,2023-03-22,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,190158.87,ARS,2023-03-17,Cobrado,Banco Nación,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Frutales del Norte SRL,134151.18,ARS,2023-03-23,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,136808.78,ARS,2023-03-19,Cobrado,Caja Operativa,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,116890.23,ARS,2023-03-18,Cobrado,Banco Galicia,Operaciones
2023-03-01,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,105994.3,ARS,2023-03-17,Cobrado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Certificaciones,Broker Comercial Citrus,26820.6,ARS,2023-03-25,Pagado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Comisiones,Promoción de Mercados SA,32053.06,ARS,2023-03-15,Pagado,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Control de calidad,Envases del Tucumán,520168.53,ARS,2023-03-25,Pagado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Despacho aduana,Transportes del Norte SA,833672.93,ARS,2023-03-16,Pagado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Energía,Envases del Tucumán,544766.87,ARS,2023-03-22,Pendiente,Banco BBVA,Operaciones
2023-03-08,2023,Egreso,Envases y embalajes,Envases del Tucumán,550336.92,ARS,2023-03-16,Pagado,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Fitosanitarios,Agroinsumos SA,659056.1,ARS,2023-03-24,Pagado,Banco BBVA,Operaciones
2023-03-08,2023,Egreso,Flete exportación,FríoAndes Logística,1098698.58,ARS,2023-03-23,Vencido,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Flete interno,Despachos del NOA,495275.13,ARS,2023-03-26,Pagado,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Frigorífico,Transportes del Norte SA,1272404.24,ARS,2023-03-16,Pagado,Banco BBVA,Operaciones
2023-03-08,2023,Egreso,Gastos generales,AFIP,924094.76,ARS,2023-04-01,Pendiente,Banco BBVA,Operaciones
2023-03-08,2023,Egreso,Honorarios,Contaduría Castillo,289774.03,ARS,2023-04-02,Pendiente,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Impuestos,Contaduría Castillo,878374.9,ARS,2023-03-29,Pagado,Banco Nación,Impuestos
2023-03-08,2023,Egreso,Insumos agrícolas,Agroinsumos SA,1043221.24,ARS,2023-03-16,Pagado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Mano de obra cosecha,Cooperativa Citrícola,630627.69,ARS,2023-03-24,Pagado,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Mano de obra empaque,Envases del Tucumán,467622.24,ARS,2023-03-18,Pagado,Caja Operativa,Operaciones
2023-03-08,2023,Egreso,Mantenimiento líneas,TecnoPacking SRL,678052.67,ARS,2023-03-13,Pagado,Banco Nación,Operaciones
2023-03-08,2023,Egreso,Maquinaria,Cooperativa Citrícola,999857.74,ARS,2023-03-21,Pagado,Caja Operativa,Operaciones
2023-03-08,2023,Egreso,Promoción comercial,Promoción de Mercados SA,64680.26,ARS,2023-03-25,Pagado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Riego,Agroinsumos SA,819044.76,ARS,2023-03-25,Pagado,Caja Operativa,Operaciones
2023-03-08,2023,Egreso,Seguros,AFIP,893430.42,ARS,2023-03-23,Pagado,Caja Operativa,Operaciones
2023-03-08,2023,Egreso,Sueldos administración,Contaduría Castillo,448728.79,ARS,2023-03-25,Pagado,Banco Galicia,Operaciones
2023-03-08,2023,Egreso,Viajes comerciales,Broker Comercial Citrus,157806.25,ARS,2023-03-26,Pagado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Al Salam Trading,409369.78,ARS,2023-04-12,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Al Salam Trading,157079.36,ARS,2023-04-10,Cobrado,Caja Operativa,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Al Salam Trading,149533.47,ARS,2023-04-04,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Citrus World Ltd,580883.45,ARS,2023-03-29,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Citrus World Ltd,323682.34,ARS,2023-04-16,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Citrus World Ltd,153494.18,ARS,2023-04-12,Vencido,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Citrus World Ltd,418815.73,ARS,2023-04-07,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Fischer Import GmbH,610598.46,ARS,2023-04-11,Cobrado,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Fischer Import GmbH,228998.18,ARS,2023-04-01,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Fischer Import GmbH,735868.86,ARS,2023-04-15,Pendiente,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Fischer Import GmbH,573155.09,ARS,2023-04-14,Cobrado,Caja Operativa,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Fischer Import GmbH,660291.08,ARS,2023-04-01,Vencido,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Fischer Import GmbH,223454.37,ARS,2023-04-05,Cobrado,Caja Operativa,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Medifresh SA,328330.57,ARS,2023-04-01,Cobrado,Caja Operativa,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Medifresh SA,653180.58,ARS,2023-03-31,Vencido,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Exportación,Medifresh SA,408798.17,ARS,2023-04-15,Vencido,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,31315.36,ARS,2023-04-15,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,43283.7,ARS,2023-04-20,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,43977.33,ARS,2023-04-03,Cobrado,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,30308.71,ARS,2023-03-28,Cobrado,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,33873.09,ARS,2023-04-05,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,51029.66,ARS,2023-04-02,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,31795.95,ARS,2023-04-20,Cobrado,Caja Operativa,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,25040.99,ARS,2023-04-17,Cobrado,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,38152.62,ARS,2023-04-05,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Citromax SA,33527.39,ARS,2023-04-01,Pendiente,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,22925.12,ARS,2023-04-19,Pendiente,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,22188.8,ARS,2023-04-08,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,144352.1,ARS,2023-03-29,Pendiente,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,76432.08,ARS,2023-03-21,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,75079.32,ARS,2023-03-26,Cobrado,Banco Nación,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Frutales del Norte SRL,145491.22,ARS,2023-03-22,Pendiente,Banco Galicia,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Frutales del Norte SRL,102425.96,ARS,2023-03-19,Pendiente,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,La Morenita SA,150628.24,ARS,2023-03-28,Cobrado,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,129166.57,ARS,2023-03-23,Pendiente,Banco BBVA,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,79305.03,ARS,2023-03-21,Cobrado,Caja Operativa,Operaciones
2023-03-08,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,126021.9,ARS,2023-03-19,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Certificaciones,Certificaciones Global GAP,32380.35,ARS,2023-03-29,Pagado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Comisiones,Broker Comercial Citrus,34544.29,ARS,2023-03-27,Pagado,Banco BBVA,Operaciones
2023-03-15,2023,Egreso,Control de calidad,Envases del Tucumán,521941.42,ARS,2023-04-01,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Despacho aduana,Transportes del Norte SA,1124189.13,ARS,2023-03-23,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Energía,Energía Tucumán SA,760104.9,ARS,2023-03-23,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Envases y embalajes,TecnoPacking SRL,592220.15,ARS,2023-03-24,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Fitosanitarios,Cooperativa Citrícola,1077449.94,ARS,2023-03-23,Pagado,Banco Nación,Operaciones
2023-03-15,2023,Egreso,Flete exportación,Transportes del Norte SA,129406.27,ARS,2023-03-31,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Flete interno,FríoAndes Logística,1040213.3,ARS,2023-03-23,Pagado,Banco Nación,Operaciones
2023-03-15,2023,Egreso,Frigorífico,FríoAndes Logística,1289477.6,ARS,2023-03-25,Pagado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Gastos generales,Contaduría Castillo,494919.61,ARS,2023-03-31,Pagado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Honorarios,Contaduría Castillo,640110.28,ARS,2023-04-04,Pagado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Impuestos,Contaduría Castillo,574884.13,ARS,2023-04-03,Pagado,Caja Operativa,Impuestos
2023-03-15,2023,Egreso,Insumos agrícolas,Agroinsumos SA,1123436.57,ARS,2023-03-26,Pagado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Mano de obra cosecha,Servicios Rurales del NOA,522779.57,ARS,2023-04-01,Pagado,Caja Operativa,Operaciones
2023-03-15,2023,Egreso,Mano de obra empaque,Energía Tucumán SA,595982.42,ARS,2023-03-31,Pagado,Banco BBVA,Operaciones
2023-03-15,2023,Egreso,Mantenimiento líneas,Energía Tucumán SA,291413.25,ARS,2023-03-20,Pagado,Banco BBVA,Operaciones
2023-03-15,2023,Egreso,Maquinaria,Cooperativa Citrícola,821208.13,ARS,2023-04-02,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Promoción comercial,Promoción de Mercados SA,146607.5,ARS,2023-03-27,Pagado,Banco Nación,Operaciones
2023-03-15,2023,Egreso,Riego,Servicios Rurales del NOA,620211.21,ARS,2023-03-24,Pagado,Banco Galicia,Operaciones
2023-03-15,2023,Egreso,Seguros,DGR Tucumán,931135.17,ARS,2023-03-27,Pagado,Banco BBVA,Impuestos
2023-03-15,2023,Egreso,Sueldos administración,DGR Tucumán,880256.37,ARS,2023-04-06,Pagado,Banco Nación,Impuestos
2023-03-15,2023,Egreso,Viajes comerciales,Certificaciones Global GAP,82273.0,ARS,2023-03-28,Pendiente,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Al Salam Trading,259613.27,ARS,2023-04-05,Cobrado,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Al Salam Trading,526599.61,ARS,2023-04-04,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Al Salam Trading,452453.74,ARS,2023-04-04,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Al Salam Trading,276971.84,ARS,2023-04-06,Cobrado,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Al Salam Trading,426693.67,ARS,2023-04-20,Vencido,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Citrus World Ltd,527964.99,ARS,2023-04-17,Pendiente,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Citrus World Ltd,308835.51,ARS,2023-04-05,Cobrado,Banco Galicia,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Citrus World Ltd,131273.01,ARS,2023-04-09,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Citrus World Ltd,228250.58,ARS,2023-04-24,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Fischer Import GmbH,703387.33,ARS,2023-04-14,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Fischer Import GmbH,228256.67,ARS,2023-04-05,Pendiente,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Medifresh SA,434476.64,ARS,2023-04-17,Cobrado,Banco Galicia,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Medifresh SA,162445.41,ARS,2023-04-14,Cobrado,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Medifresh SA,248758.06,ARS,2023-04-12,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Medifresh SA,824925.22,ARS,2023-04-07,Cobrado,Banco Galicia,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Medifresh SA,534159.72,ARS,2023-04-23,Pendiente,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Exportación,Medifresh SA,286271.98,ARS,2023-04-03,Pendiente,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Citromax SA,27926.82,ARS,2023-04-08,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Citromax SA,39429.95,ARS,2023-04-05,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Citromax SA,48120.99,ARS,2023-04-06,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Citromax SA,62378.09,ARS,2023-04-18,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Citromax SA,24288.85,ARS,2023-04-29,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Citromax SA,26106.88,ARS,2023-04-24,Vencido,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,26424.63,ARS,2023-04-04,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,33310.17,ARS,2023-04-10,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Industria,Frutales Tucumán SRL,36177.55,ARS,2023-04-20,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,122978.73,ARS,2023-03-30,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,163732.59,ARS,2023-04-07,Cobrado,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,181948.2,ARS,2023-04-04,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Central de Frutas SA,94103.24,ARS,2023-04-02,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Frutales del Norte SRL,75671.18,ARS,2023-04-02,Cobrado,Banco Nación,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Frutales del Norte SRL,77493.47,ARS,2023-03-26,Cobrado,Banco Galicia,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,La Morenita SA,89540.38,ARS,2023-04-04,Pendiente,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,La Morenita SA,86869.16,ARS,2023-04-02,Cobrado,Caja Operativa,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,La Morenita SA,125738.48,ARS,2023-04-02,Pendiente,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,La Morenita SA,110473.18,ARS,2023-04-06,Pendiente,Banco BBVA,Operaciones
2023-03-15,2023,Ingreso,Venta Mercado Interno,Supermercados Norte SA,139927.22,ARS,2023-04-08,Cobrado,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Certificaciones,Certificaciones Global GAP,39376.64,ARS,2023-04-01,Pagado,Caja Operativa,Operaciones
2023-03-22,2023,Egreso,Comisiones,Certificaciones Global GAP,57912.13,ARS,2023-04-05,Pendiente,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Control de calidad,Energía Tucumán SA,452620.28,ARS,2023-03-31,Pagado,Banco Galicia,Operaciones
2023-03-22,2023,Egreso,Despacho aduana,FríoAndes Logística,1662051.11,ARS,2023-03-29,Pagado,Banco Galicia,Operaciones
2023-03-22,2023,Egreso,Energía,Envases del Tucumán,364152.7,ARS,2023-04-09,Pagado,Banco Galicia,Operaciones
2023-03-22,2023,Egreso,Envases y embalajes,Energía Tucumán SA,592109.34,ARS,2023-04-09,Vencido,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Fitosanitarios,Servicios Rurales del NOA,850791.71,ARS,2023-04-07,Vencido,Caja Operativa,Operaciones
2023-03-22,2023,Egreso,Flete exportación,Despachos del NOA,829944.87,ARS,2023-04-03,Pendiente,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Flete interno,Transportes del Norte SA,694185.37,ARS,2023-04-03,Pagado,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Frigorífico,Transportes del Norte SA,482850.67,ARS,2023-04-03,Pagado,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Gastos generales,Contaduría Castillo,464745.19,ARS,2023-04-03,Pagado,Banco Nación,Operaciones
2023-03-22,2023,Egreso,Honorarios,AFIP,1028939.94,ARS,2023-04-05,Pagado,Banco BBVA,Operaciones
2023-03-22,2023,Egreso,Impuestos,DGR Tucumán,1043064.99,ARS,2023-04-13,Pendiente,Banco BBVA,Operaciones
2023-03-22,2023,Egreso,Insumos agrícolas,Servicios Rurales del NOA,898015.02,ARS,2023-04-01,Pendiente,Banco BBVA,Operaciones
2023-03-22,2023,Egreso,Mano de obra cosecha,Servicios Rurales del NOA,940198.38,ARS,2023-04-05,Vencido,Banco Galicia,Operaciones
2023-03-22,2023,Egreso,Mano de obra empaque,Energía Tucumán SA,860670.17,ARS,2023-04-02,Pendiente,Caja Operativa,Operaciones
2023-03-22,2023,Egreso,Mantenimiento líneas,Envases del Tucumán,514647.26,ARS,2023-04-09,Pagado,Banco BBVA,Operaciones
2023-03-22,2023,Egreso,Maquinaria,Cooperativa Citrícola,434411.15,ARS,2023-04-06,Vencido,Caja Operativa,Operaciones
2023-03-22,2023,Egreso,Promoción comercial,Promoción de Mercados SA,126694.89,ARS,2023-03-27,Pagado,Banco Galicia,Operaciones
2023-03-22,2023,Egreso,Riego,Servicios Rurales del NOA,995500.08,ARS,2023-03-30,Pendiente,Banco Galicia,Operaciones
2023-03-22,2023,Egreso,Seguros,AFIP,418619.16,ARS,2023-04-10,Pagado,Caja Operativa,Impuestos
2023-03-22,2023,Egreso,Sueldos administración,DGR Tucumán,512510.45,ARS,2023-04-06,Pagado,Banco BBVA,Impuestos
2023-03-22,2023,Egreso,Viajes comerciales,Promoción de Mercados SA,82165.45,ARS,2023-04-03,Pagado,Banco Nación,Operaciones
