fecha,campaña,finca,lote,centro_costo,tipo_costo,canal,importe,moneda
2023-03-01,2023,El Paraíso,EP-02,Comercial,Viajes comerciales,Mercado Industrial,442.08,ARS
2023-03-01,2023,El Paraíso,EP-02,Logística,Despacho aduana,Distribuidor Regional,45256.48,ARS
2023-03-01,2023,El Paraíso,EP-02,Comercial,Promoción comercial,Distribuidor Regional,2591.14,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Gastos generales,General,163922.63,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Honorarios,Contrato Industria,5140.79,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Honorarios,Distribuidor Regional,7171.52,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Gastos generales,Exportación Directa,22647.71,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Sueldos administración,Mercado Central,3261.16,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Sueldos administración,Mercado Industrial,6550.57,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Sueldos administración,Programa Retail UE,15285.52,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Gastos generales,Retail Nacional,5468.09,ARS
2023-03-01,2023,El Paraíso,EP-02,Administración,Sueldos administración,Trader Golfo,9595.43,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Maquinaria,General,57951.83,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Mano de obra cosecha,Contrato Industria,8882.97,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Insumos agrícolas,Distribuidor Regional,6990.0,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Riego,Exportación Directa,18008.15,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Maquinaria,Mercado Central,10723.22,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Riego,Mercado Industrial,8996.19,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Fitosanitarios,Programa Retail UE,32857.76,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Maquinaria,Retail Nacional,7077.66,ARS
2023-03-01,2023,El Paraíso,EP-03,Campo,Maquinaria,Trader Golfo,15601.2,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Mantenimiento líneas,General,32812.28,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Envases y embalajes,Contrato Industria,9191.99,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Mantenimiento líneas,Distribuidor Regional,7233.17,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Mano de obra empaque,Exportación Directa,18634.62,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Control de calidad,Mercado Central,11096.26,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Mantenimiento líneas,Mercado Industrial,9309.15,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Envases y embalajes,Programa Retail UE,34000.84,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Energía,Retail Nacional,7323.88,ARS
2023-03-01,2023,El Paraíso,EP-03,Empaque,Energía,Trader Golfo,16143.94,ARS
2023-03-01,2023,El Paraíso,EP-03,Logística,Frigorífico,Programa Retail UE,154885.2,ARS
2023-03-01,2023,El Paraíso,EP-03,Comercial,Comisiones,Programa Retail UE,8112.16,ARS
2023-03-01,2023,El Paraíso,EP-03,Logística,Frigorífico,Mercado Central,31833.42,ARS
2023-03-01,2023,El Paraíso,EP-03,Comercial,Promoción comercial,Mercado Central,1510.39,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Gastos generales,General,100681.72,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Gastos generales,Contrato Industria,3864.48,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Gastos generales,Distribuidor Regional,3040.96,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Gastos generales,Exportación Directa,7834.33,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Sueldos administración,Mercado Central,4665.07,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Honorarios,Mercado Industrial,3913.73,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Gastos generales,Programa Retail UE,14294.56,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Seguros,Retail Nacional,3079.09,ARS
2023-03-01,2023,El Paraíso,EP-03,Administración,Impuestos,Trader Golfo,6787.21,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Riego,General,36671.19,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Insumos agrícolas,Contrato Industria,5519.11,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Insumos agrícolas,Distribuidor Regional,5463.36,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Fitosanitarios,Exportación Directa,6331.25,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Mano de obra cosecha,Mercado Central,4367.27,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Maquinaria,Mercado Industrial,6802.32,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Riego,Programa Retail UE,15689.29,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Riego,Retail Nacional,2652.1,ARS
2023-03-01,2023,El Paraíso,EP-04,Campo,Maquinaria,Trader Golfo,10385.09,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Mantenimiento líneas,General,12833.09,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Energía,Contrato Industria,4421.88,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Mantenimiento líneas,Distribuidor Regional,4377.21,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Envases y embalajes,Exportación Directa,5072.56,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Mano de obra empaque,Mercado Central,3499.03,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Mano de obra empaque,Mercado Industrial,5449.98,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Envases y embalajes,Programa Retail UE,12570.17,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Mano de obra empaque,Retail Nacional,2124.85,ARS
2023-03-01,2023,El Paraíso,EP-04,Empaque,Envases y embalajes,Trader Golfo,8320.47,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Sueldos administración,General,101049.7,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Gastos generales,Contrato Industria,2982.34,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Impuestos,Distribuidor Regional,2952.22,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Gastos generales,Exportación Directa,3421.2,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Sueldos administración,Mercado Central,2359.92,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Gastos generales,Mercado Industrial,3675.74,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Seguros,Programa Retail UE,8477.96,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Gastos generales,Retail Nacional,1433.11,ARS
2023-03-01,2023,El Paraíso,EP-04,Administración,Gastos generales,Trader Golfo,5611.75,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Mano de obra cosecha,General,108176.68,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Insumos agrícolas,Contrato Industria,9655.57,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Maquinaria,Distribuidor Regional,8405.17,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Mano de obra cosecha,Exportación Directa,38961.64,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Riego,Mercado Central,15884.16,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Riego,Mercado Industrial,15284.18,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Fitosanitarios,Programa Retail UE,21245.8,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Mano de obra cosecha,Retail Nacional,13711.82,ARS
2023-03-01,2023,La Esperanza,LE-01,Campo,Insumos agrícolas,Trader Golfo,44076.98,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Control de calidad,General,55770.73,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Mano de obra empaque,Contrato Industria,8501.89,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Mantenimiento líneas,Distribuidor Regional,7400.89,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Control de calidad,Exportación Directa,34306.36,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Envases y embalajes,Mercado Central,13986.26,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Control de calidad,Mercado Industrial,13457.97,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Mantenimiento líneas,Programa Retail UE,18707.27,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Control de calidad,Retail Nacional,12073.48,ARS
2023-03-01,2023,La Esperanza,LE-01,Empaque,Mano de obra empaque,Trader Golfo,38810.49,ARS
2023-03-01,2023,La Esperanza,LE-01,Logística,Despacho aduana,Trader Golfo,246205.05,ARS
2023-03-01,2023,La Esperanza,LE-01,Comercial,Comisiones,Trader Golfo,18472.15,ARS
2023-03-01,2023,La Esperanza,LE-01,Logística,Flete interno,Contrato Industria,13499.72,ARS
2023-03-01,2023,La Esperanza,LE-01,Comercial,Viajes comerciales,Contrato Industria,350.57,ARS
2023-03-01,2023,La Esperanza,LE-01,Logística,Frigorífico,Distribuidor Regional,43377.57,ARS
2023-03-01,2023,La Esperanza,LE-01,Comercial,Comisiones,Distribuidor Regional,2528.54,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Impuestos,General,142982.12,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Honorarios,Contrato Industria,3613.11,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Impuestos,Distribuidor Regional,3145.21,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Impuestos,Exportación Directa,14579.45,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Honorarios,Mercado Central,5943.85,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Sueldos administración,Mercado Industrial,5719.34,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Seguros,Programa Retail UE,7950.18,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Sueldos administración,Retail Nacional,5130.96,ARS
2023-03-01,2023,La Esperanza,LE-01,Administración,Honorarios,Trader Golfo,16493.6,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Mano de obra cosecha,General,134644.7,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Fitosanitarios,Contrato Industria,23465.88,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Fitosanitarios,Distribuidor Regional,14290.98,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Insumos agrícolas,Exportación Directa,36559.9,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Maquinaria,Mercado Central,20351.07,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Mano de obra cosecha,Mercado Industrial,13878.09,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Fitosanitarios,Programa Retail UE,35436.13,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Fitosanitarios,Retail Nacional,14525.37,ARS
2023-03-01,2023,La Esperanza,LE-02,Campo,Maquinaria,Trader Golfo,65709.69,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Mantenimiento líneas,General,54865.65,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Mantenimiento líneas,Contrato Industria,20495.29,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Mano de obra empaque,Distribuidor Regional,12481.85,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Energía,Exportación Directa,31931.7,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Energía,Mercado Central,17774.78,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Energía,Mercado Industrial,12121.23,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Control de calidad,Programa Retail UE,30950.19,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Control de calidad,Retail Nacional,12686.57,ARS
2023-03-01,2023,La Esperanza,LE-02,Empaque,Energía,Trader Golfo,57391.36,ARS
2023-03-01,2023,La Esperanza,LE-02,Logística,Frigorífico,Programa Retail UE,297474.57,ARS
2023-03-01,2023,La Esperanza,LE-02,Comercial,Promoción comercial,Programa Retail UE,24327.04,ARS
2023-03-01,2023,La Esperanza,LE-02,Logística,Despacho aduana,Contrato Industria,24553.88,ARS
2023-03-01,2023,La Esperanza,LE-02,Comercial,Viajes comerciales,Contrato Industria,722.8,ARS
2023-03-01,2023,La Esperanza,LE-02,Logística,Despacho aduana,Mercado Central,51024.98,ARS
2023-03-01,2023,La Esperanza,LE-02,Comercial,Viajes comerciales,Mercado Central,2394.62,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Gastos generales,General,169895.84,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Gastos generales,Contrato Industria,7850.4,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Honorarios,Distribuidor Regional,4780.98,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Sueldos administración,Exportación Directa,12230.94,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Sueldos administración,Mercado Central,6808.35,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Sueldos administración,Mercado Industrial,4642.85,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Seguros,Programa Retail UE,11854.99,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Gastos generales,Retail Nacional,4859.39,ARS
2023-03-01,2023,La Esperanza,LE-02,Administración,Seguros,Trader Golfo,21982.87,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Maquinaria,General,108165.36,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Fitosanitarios,Contrato Industria,18221.02,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Mano de obra cosecha,Distribuidor Regional,7551.88,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Mano de obra cosecha,Exportación Directa,28227.99,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Maquinaria,Mercado Central,10294.21,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Fitosanitarios,Mercado Industrial,5097.3,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Insumos agrícolas,Programa Retail UE,33653.47,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Riego,Retail Nacional,9841.38,ARS
2023-03-01,2023,La Esperanza,LE-03,Campo,Insumos agrícolas,Trader Golfo,16662.48,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Control de calidad,General,37903.0,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Mantenimiento líneas,Contrato Industria,15378.65,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Mantenimiento líneas,Distribuidor Regional,6373.84,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Envases y embalajes,Exportación Directa,23824.6,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Energía,Mercado Central,8688.38,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Mantenimiento líneas,Mercado Industrial,4302.15,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Energía,Programa Retail UE,28403.74,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Energía,Retail Nacional,8306.19,ARS
2023-03-01,2023,La Esperanza,LE-03,Empaque,Mano de obra empaque,Trader Golfo,14063.23,ARS
2023-03-01,2023,La Esperanza,LE-03,Logística,Flete interno,Programa Retail UE,162980.44,ARS
2023-03-01,2023,La Esperanza,LE-03,Comercial,Viajes comerciales,Programa Retail UE,17120.49,ARS
2023-03-01,2023,La Esperanza,LE-03,Logística,Flete exportación,Contrato Industria,17883.69,ARS
2023-03-01,2023,La Esperanza,LE-03,Comercial,Comisiones,Contrato Industria,218.71,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Seguros,General,134870.84,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Sueldos administración,Contrato Industria,5572.62,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Seguros,Distribuidor Regional,2309.63,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Gastos generales,Exportación Directa,8633.1,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Seguros,Mercado Central,3148.33,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Honorarios,Mercado Industrial,1558.93,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Seguros,Programa Retail UE,10292.4,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Impuestos,Retail Nacional,3009.84,ARS
2023-03-01,2023,La Esperanza,LE-03,Administración,Gastos generales,Trader Golfo,5095.97,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Maquinaria,General,66677.46,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Insumos agrícolas,Contrato Industria,9579.03,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Fitosanitarios,Distribuidor Regional,4879.21,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Insumos agrícolas,Exportación Directa,13940.35,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Maquinaria,Mercado Central,8714.3,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Maquinaria,Mercado Industrial,12169.97,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Fitosanitarios,Programa Retail UE,27317.9,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Insumos agrícolas,Retail Nacional,9193.46,ARS
2023-03-01,2023,La Esperanza,LE-04,Campo,Mano de obra cosecha,Trader Golfo,18392.71,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Control de calidad,General,28027.93,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Mano de obra empaque,Contrato Industria,7735.14,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Envases y embalajes,Distribuidor Regional,3940.0,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Control de calidad,Exportación Directa,11256.93,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Control de calidad,Mercado Central,7036.86,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Envases y embalajes,Mercado Industrial,9827.34,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Energía,Programa Retail UE,22059.4,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Envases y embalajes,Retail Nacional,7423.78,ARS
2023-03-01,2023,La Esperanza,LE-04,Empaque,Mano de obra empaque,Trader Golfo,14852.25,ARS
2023-03-01,2023,La Esperanza,LE-04,Logística,Frigorífico,Trader Golfo,116725.54,ARS
2023-03-01,2023,La Esperanza,LE-04,Comercial,Comisiones,Trader Golfo,9600.44,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Gastos generales,General,129015.45,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Sueldos administración,Contrato Industria,4365.7,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Gastos generales,Distribuidor Regional,2223.73,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Gastos generales,Exportación Directa,6353.39,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Honorarios,Mercado Central,3971.59,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Gastos generales,Mercado Industrial,5546.53,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Impuestos,Programa Retail UE,12450.28,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Sueldos administración,Retail Nacional,4189.97,ARS
2023-03-01,2023,La Esperanza,LE-04,Administración,Honorarios,Trader Golfo,8382.58,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Mano de obra cosecha,General,104206.32,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Mano de obra cosecha,Contrato Industria,12928.3,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Riego,Distribuidor Regional,5092.76,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Fitosanitarios,Exportación Directa,29245.58,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Insumos agrícolas,Mercado Central,11366.03,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Mano de obra cosecha,Mercado Industrial,8243.49,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Riego,Programa Retail UE,20386.37,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Maquinaria,Retail Nacional,11556.92,ARS
2023-03-01,2023,Los Álamos,LA-01,Campo,Riego,Trader Golfo,26418.81,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Envases y embalajes,General,38859.44,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Control de calidad,Contrato Industria,14164.43,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Control de calidad,Distribuidor Regional,5579.7,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Mantenimiento líneas,Exportación Directa,32041.87,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Mantenimiento líneas,Mercado Central,12452.78,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Control de calidad,Mercado Industrial,9031.69,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Mano de obra empaque,Programa Retail UE,22335.59,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Energía,Retail Nacional,12661.92,ARS
2023-03-01,2023,Los Álamos,LA-01,Empaque,Control de calidad,Trader Golfo,28944.82,ARS
2023-03-01,2023,Los Álamos,LA-01,Logística,Frigorífico,Programa Retail UE,208352.57,ARS
2023-03-01,2023,Los Álamos,LA-01,Comercial,Viajes comerciales,Programa Retail UE,16160.59,ARS
2023-03-01,2023,Los Álamos,LA-01,Logística,Despacho aduana,Contrato Industria,19247.03,ARS
2023-03-01,2023,Los Álamos,LA-01,Comercial,Viajes comerciales,Contrato Industria,289.79,ARS
2023-03-01,2023,Los Álamos,LA-01,Logística,Flete exportación,Distribuidor Regional,48191.9,ARS
2023-03-01,2023,Los Álamos,LA-01,Comercial,Certificaciones,Distribuidor Regional,3056.57,ARS
