fecha,campaña,finca,lote,variedad,kg_ingresados,kg_exportables,kg_industria,kg_descarte,calibre,calidad,turno,linea,cajas_producidas,horas_operativas,costo_empaque,rendimiento_exportable_pct
2023-11-01,2023,El Paraíso,EP-01,Eureka,2713.0,1951.0,421.0,341.0,7,Segunda,Noche,Línea 2,108.0,4.5,215.44,71.9
2023-11-08,2023,El Paraíso,EP-01,Eureka,3237.0,2423.0,469.0,345.0,3,Extra,Tarde,Línea 1,135.0,4.5,253.07,74.9
2023-11-15,2023,El Paraíso,EP-01,Eureka,3570.0,2470.0,585.0,515.0,3,Primera,Mañana,Línea 3,137.0,4.5,263.55,69.2
2023-11-22,2023,El Paraíso,EP-01,Eureka,3227.0,2272.0,524.0,431.0,6,Extra,Tarde,Línea 3,126.0,4.5,244.28,70.4
2023-11-29,2023,El Paraíso,EP-01,Eureka,3052.0,2210.0,417.0,425.0,3,Primera,Tarde,Línea 1,123.0,4.5,229.49,72.4
2023-03-01,2023,El Paraíso,EP-02,Eureka,13772.0,9433.0,2196.0,2143.0,7,Primera,Tarde,Línea 3,524.0,5.7,1054.82,68.5
2023-03-08,2023,El Paraíso,EP-02,Eureka,11182.0,8246.0,1541.0,1395.0,4,Segunda,Tarde,Línea 2,458.0,5.6,825.76,73.7
2023-03-15,2023,El Paraíso,EP-02,Eureka,10720.0,7720.0,1625.0,1375.0,6,Primera,Mañana,Línea 1,429.0,5.0,652.99,72.0
2023-03-22,2023,El Paraíso,EP-02,Eureka,10834.0,7993.0,1695.0,1146.0,4,Primera,Mañana,Línea 1,444.0,4.5,639.28,73.8
2023-03-29,2023,El Paraíso,EP-02,Eureka,10533.0,7809.0,1680.0,1044.0,2,Primera,Mañana,Línea 1,434.0,4.5,776.87,74.1
2023-04-05,2023,El Paraíso,EP-02,Eureka,28679.0,22656.0,4334.0,1689.0,6,Primera,Mañana,Línea 1,1259.0,14.5,1919.54,79.0
2023-04-12,2023,El Paraíso,EP-02,Eureka,34379.0,26110.0,4586.0,3683.0,3,Primera,Tarde,Línea 3,1451.0,17.5,2156.91,75.9
2023-04-19,2023,El Paraíso,EP-02,Eureka,28454.0,21303.0,3945.0,3206.0,7,Primera,Tarde,Línea 2,1184.0,10.7,2238.56,74.9
2023-04-26,2023,El Paraíso,EP-02,Eureka,30853.0,23632.0,4323.0,2898.0,6,Extra,Mañana,Línea 2,1313.0,11.8,2328.9,76.6
2023-05-03,2023,El Paraíso,EP-02,Eureka,28331.0,21154.0,4240.0,2937.0,4,Primera,Noche,Línea 1,1175.0,10.0,2280.57,74.7
2023-05-03,2023,El Paraíso,EP-02,Eureka,20663.0,15800.0,3123.0,1740.0,5,Segunda,Mañana,Línea 2,878.0,7.9,1304.34,76.5
2023-05-10,2023,El Paraíso,EP-02,Eureka,38149.0,29178.0,5774.0,3197.0,5,Segunda,Mañana,Línea 1,1621.0,16.3,2753.15,76.5
2023-05-17,2023,El Paraíso,EP-02,Eureka,32514.0,25551.0,4577.0,2386.0,3,Primera,Tarde,Línea 2,1420.0,13.1,2010.72,78.6
2023-05-17,2023,El Paraíso,EP-02,Eureka,16079.0,12486.0,1908.0,1685.0,4,Segunda,Mañana,Línea 3,694.0,7.9,1212.92,77.7
2023-05-24,2023,El Paraíso,EP-02,Eureka,41562.0,33216.0,4955.0,3391.0,3,Primera,Tarde,Línea 1,1845.0,18.4,3141.83,79.9
2023-05-31,2023,El Paraíso,EP-02,Eureka,39401.0,29804.0,5475.0,4122.0,7,Segunda,Noche,Línea 1,1656.0,15.1,2809.35,75.6
2023-06-07,2023,El Paraíso,EP-02,Eureka,177.0,134.0,29.0,14.0,4,Primera,Noche,Línea 1,7.0,4.5,11.65,75.5
2023-06-07,2023,El Paraíso,EP-02,Eureka,49126.0,38869.0,6182.0,4075.0,3,Extra,Tarde,Línea 2,2159.0,19.1,4024.01,79.1
2023-06-14,2023,El Paraíso,EP-02,Eureka,21205.0,16553.0,2813.0,1839.0,3,Primera,Tarde,Línea 3,920.0,9.7,1583.9,78.1
2023-06-14,2023,El Paraíso,EP-02,Eureka,27160.0,21682.0,3697.0,1781.0,5,Primera,Mañana,Línea 1,1205.0,13.1,2092.97,79.8
2023-06-21,2023,El Paraíso,EP-02,Eureka,5131.0,3904.0,752.0,475.0,7,Primera,Tarde,Línea 3,217.0,4.5,366.64,76.1
2023-06-21,2023,El Paraíso,EP-02,Eureka,46673.0,36387.0,6739.0,3547.0,4,Extra,Tarde,Línea 3,2022.0,18.3,3009.27,78.0
2023-06-28,2023,El Paraíso,EP-02,Eureka,35254.0,27172.0,5343.0,2739.0,3,Segunda,Mañana,Línea 1,1510.0,14.2,2711.98,77.1
2023-06-28,2023,El Paraíso,EP-02,Eureka,14579.0,11134.0,2042.0,1403.0,2,Extra,Noche,Línea 2,619.0,7.4,960.42,76.4
2023-07-05,2023,El Paraíso,EP-02,Eureka,47019.0,37004.0,6789.0,3226.0,3,Segunda,Mañana,Línea 3,2056.0,17.4,3780.08,78.7
2023-07-12,2023,El Paraíso,EP-02,Eureka,40338.0,29885.0,6259.0,4194.0,2,Extra,Tarde,Línea 3,1660.0,15.2,2454.17,74.1
2023-07-19,2023,El Paraíso,EP-02,Eureka,38998.0,31392.0,5176.0,2430.0,4,Segunda,Mañana,Línea 3,1744.0,20.4,2600.92,80.5
2023-07-26,2023,El Paraíso,EP-02,Eureka,46341.0,33670.0,6268.0,6403.0,4,Primera,Mañana,Línea 3,1871.0,16.8,2991.48,72.7
2023-08-02,2023,El Paraíso,EP-02,Eureka,38045.0,29935.0,5657.0,2453.0,4,Primera,Noche,Línea 1,1663.0,19.5,2939.49,78.7
2023-08-09,2023,El Paraíso,EP-02,Eureka,39946.0,30204.0,5200.0,4542.0,2,Primera,Tarde,Línea 1,1678.0,20.7,3014.75,75.6
2023-08-16,2023,El Paraíso,EP-02,Eureka,33962.0,26609.0,4158.0,3195.0,2,Extra,Mañana,Línea 2,1478.0,14.4,2080.12,78.4
2023-08-23,2023,El Paraíso,EP-02,Eureka,33541.0,26177.0,5210.0,2154.0,6,Segunda,Mañana,Línea 1,1454.0,18.0,1991.31,78.0
2023-08-30,2023,El Paraíso,EP-02,Eureka,37730.0,29047.0,4921.0,3762.0,4,Primera,Mañana,Línea 3,1614.0,18.2,2875.99,77.0
2023-09-06,2023,El Paraíso,EP-02,Eureka,22616.0,16588.0,3046.0,2982.0,4,Primera,Tarde,Línea 3,922.0,9.5,1329.97,73.3
2023-09-13,2023,El Paraíso,EP-02,Eureka,26777.0,19856.0,3908.0,3013.0,3,Segunda,Mañana,Línea 1,1103.0,12.0,2131.34,74.2
2023-09-20,2023,El Paraíso,EP-02,Eureka,26266.0,18668.0,4673.0,2925.0,5,Extra,Mañana,Línea 1,1037.0,10.3,2113.99,71.1
2023-09-27,2023,El Paraíso,EP-02,Eureka,23238.0,17687.0,3776.0,1775.0,5,Extra,Tarde,Línea 2,983.0,11.1,1712.65,76.1
2023-10-04,2023,El Paraíso,EP-02,Eureka,11661.0,8000.0,1934.0,1727.0,4,Primera,Noche,Línea 1,444.0,4.5,846.64,68.6
2023-10-11,2023,El Paraíso,EP-02,Eureka,11672.0,8151.0,1790.0,1731.0,3,Primera,Mañana,Línea 1,453.0,4.5,834.19,69.8
2023-10-18,2023,El Paraíso,EP-02,Eureka,9572.0,6657.0,1710.0,1205.0,4,Extra,Noche,Línea 1,370.0,4.5,570.72,69.5
2023-10-25,2023,El Paraíso,EP-02,Eureka,12149.0,8589.0,1943.0,1617.0,5,Primera,Tarde,Línea 1,477.0,5.6,980.38,70.7
2023-11-01,2023,El Paraíso,EP-02,Eureka,4018.0,2689.0,688.0,641.0,3,Segunda,Tarde,Línea 1,149.0,4.5,295.82,66.9
2023-11-08,2023,El Paraíso,EP-02,Eureka,4400.0,3190.0,674.0,536.0,5,Segunda,Tarde,Línea 1,177.0,4.5,338.23,72.5
2023-11-15,2023,El Paraíso,EP-02,Eureka,3796.0,2625.0,577.0,594.0,4,Extra,Mañana,Línea 1,146.0,4.5,289.11,69.1
2023-11-22,2023,El Paraíso,EP-02,Eureka,4483.0,3053.0,748.0,682.0,6,Extra,Mañana,Línea 1,170.0,4.5,343.08,68.1
2023-11-29,2023,El Paraíso,EP-02,Eureka,3879.0,2726.0,622.0,531.0,4,Primera,Noche,Línea 3,151.0,4.5,275.13,70.3
2023-03-01,2023,El Paraíso,EP-03,Lisbon,7488.0,5099.0,1229.0,1160.0,6,Segunda,Mañana,Línea 1,283.0,4.5,607.63,68.1
2023-03-08,2023,El Paraíso,EP-03,Lisbon,6748.0,4505.0,1111.0,1132.0,7,Segunda,Noche,Línea 1,250.0,4.5,484.93,66.8
2023-03-15,2023,El Paraíso,EP-03,Lisbon,6862.0,4626.0,1183.0,1053.0,3,Segunda,Noche,Línea 2,257.0,4.5,512.6,67.4
2023-03-22,2023,El Paraíso,EP-03,Lisbon,6503.0,4228.0,1255.0,1020.0,6,Segunda,Noche,Línea 2,235.0,4.5,420.39,65.0
2023-03-29,2023,El Paraíso,EP-03,Lisbon,6198.0,3975.0,1223.0,1000.0,3,Segunda,Tarde,Línea 1,221.0,4.5,382.11,64.1
2023-04-05,2023,El Paraíso,EP-03,Lisbon,16715.0,11401.0,2538.0,2776.0,6,Extra,Noche,Línea 2,633.0,5.6,1291.84,68.2
2023-04-12,2023,El Paraíso,EP-03,Lisbon,18512.0,12989.0,3128.0,2395.0,4,Segunda,Noche,Línea 1,722.0,7.0,1147.43,70.2
2023-04-19,2023,El Paraíso,EP-03,Lisbon,18931.0,13136.0,2863.0,2932.0,2,Extra,Mañana,Línea 1,730.0,9.3,1352.32,69.4
2023-04-26,2023,El Paraíso,EP-03,Lisbon,19136.0,12914.0,3543.0,2679.0,7,Primera,Tarde,Línea 2,717.0,6.5,1358.26,67.5
2023-05-03,2023,El Paraíso,EP-03,Lisbon,27231.0,19931.0,4124.0,3176.0,5,Segunda,Mañana,Línea 1,1107.0,10.0,1879.55,73.2
2023-05-10,2023,El Paraíso,EP-03,Lisbon,22029.0,15520.0,3267.0,3242.0,3,Segunda,Mañana,Línea 2,862.0,8.1,1714.37,70.5
2023-05-17,2023,El Paraíso,EP-03,Lisbon,25032.0,18569.0,3382.0,3081.0,2,Primera,Mañana,Línea 2,1032.0,11.2,1722.41,74.2
2023-05-24,2023,El Paraíso,EP-03,Lisbon,21779.0,14789.0,3989.0,3001.0,4,Segunda,Mañana,Línea 3,822.0,8.5,1774.96,67.9
2023-05-31,2023,El Paraíso,EP-03,Lisbon,25443.0,19034.0,3930.0,2479.0,3,Extra,Tarde,Línea 3,1057.0,11.6,1894.79,74.8
2023-06-07,2023,El Paraíso,EP-03,Lisbon,27811.0,19883.0,4770.0,3158.0,7,Primera,Tarde,Línea 3,1105.0,12.4,2042.14,71.5
2023-06-14,2023,El Paraíso,EP-03,Lisbon,31562.0,23296.0,4508.0,3758.0,6,Extra,Tarde,Línea 3,1294.0,15.0,1855.74,73.8
2023-06-21,2023,El Paraíso,EP-03,Lisbon,27049.0,20100.0,4209.0,2740.0,7,Primera,Tarde,Línea 1,1117.0,12.6,2157.77,74.3
2023-06-28,2023,El Paraíso,EP-03,Lisbon,25083.0,18604.0,3359.0,3120.0,5,Primera,Mañana,Línea 2,1034.0,10.8,1731.95,74.2
2023-07-05,2023,El Paraíso,EP-03,Lisbon,25067.0,18332.0,3439.0,3296.0,4,Primera,Tarde,Línea 1,1018.0,10.7,1479.17,73.1
2023-07-12,2023,El Paraíso,EP-03,Lisbon,30219.0,21861.0,4427.0,3931.0,4,Segunda,Tarde,Línea 1,1214.0,10.8,1964.64,72.3
2023-07-19,2023,El Paraíso,EP-03,Lisbon,29025.0,21688.0,4033.0,3304.0,5,Primera,Tarde,Línea 1,1205.0,10.7,1761.87,74.7
2023-07-26,2023,El Paraíso,EP-03,Lisbon,24718.0,17595.0,3532.0,3591.0,4,Extra,Noche,Línea 3,978.0,11.2,1441.0,71.2
2023-08-02,2023,El Paraíso,EP-03,Lisbon,19753.0,13251.0,3242.0,3260.0,5,Primera,Tarde,Línea 1,736.0,6.8,1168.5,67.1
2023-08-09,2023,El Paraíso,EP-03,Lisbon,23883.0,17446.0,3816.0,2621.0,5,Primera,Noche,Línea 3,969.0,9.5,1896.67,73.0
2023-08-16,2023,El Paraíso,EP-03,Lisbon,19677.0,14352.0,2652.0,2673.0,3,Extra,Tarde,Línea 3,797.0,7.9,1611.36,72.9
2023-08-23,2023,El Paraíso,EP-03,Lisbon,24691.0,17154.0,3630.0,3907.0,5,Extra,Noche,Línea 1,953.0,8.6,1787.02,69.5
2023-08-30,2023,El Paraíso,EP-03,Lisbon,23918.0,17164.0,4074.0,2680.0,5,Extra,Mañana,Línea 1,954.0,8.4,1715.46,71.8
2023-09-06,2023,El Paraíso,EP-03,Lisbon,13218.0,9319.0,2034.0,1865.0,2,Segunda,Tarde,Línea 1,518.0,5.4,1012.14,70.5
2023-09-13,2023,El Paraíso,EP-03,Lisbon,13233.0,9814.0,2048.0,1371.0,4,Segunda,Tarde,Línea 3,545.0,5.4,990.66,74.2
2023-09-20,2023,El Paraíso,EP-03,Lisbon,17277.0,11423.0,2754.0,3100.0,5,Primera,Mañana,Línea 3,635.0,6.8,1204.28,66.1
2023-09-27,2023,El Paraíso,EP-03,Lisbon,14531.0,10549.0,2248.0,1734.0,5,Segunda,Noche,Línea 1,586.0,5.7,867.54,72.6
2023-10-04,2023,El Paraíso,EP-03,Lisbon,6682.0,4506.0,1135.0,1041.0,6,Extra,Noche,Línea 3,250.0,4.5,410.01,67.4
2023-10-11,2023,El Paraíso,EP-03,Lisbon,7596.0,4964.0,1257.0,1375.0,5,Extra,Mañana,Línea 1,276.0,4.5,491.74,65.3
2023-10-18,2023,El Paraíso,EP-03,Lisbon,7873.0,4781.0,1360.0,1732.0,4,Segunda,Tarde,Línea 3,266.0,4.5,498.03,60.7
2023-10-25,2023,El Paraíso,EP-03,Lisbon,7953.0,5457.0,1353.0,1143.0,5,Segunda,Noche,Línea 3,303.0,4.5,517.29,68.6
2023-11-01,2023,El Paraíso,EP-03,Lisbon,2536.0,1586.0,431.0,519.0,6,Segunda,Tarde,Línea 3,88.0,4.5,154.02,62.6
2023-11-08,2023,El Paraíso,EP-03,Lisbon,2272.0,1453.0,432.0,387.0,4,Primera,Noche,Línea 2,81.0,4.5,138.95,64.0
2023-11-15,2023,El Paraíso,EP-03,Lisbon,2067.0,1378.0,352.0,337.0,4,Extra,Tarde,Línea 3,77.0,4.5,164.91,66.7
2023-11-22,2023,El Paraíso,EP-03,Lisbon,2553.0,1693.0,492.0,368.0,5,Extra,Tarde,Línea 3,94.0,4.5,148.17,66.3
2023-11-29,2023,El Paraíso,EP-03,Lisbon,2399.0,1503.0,424.0,472.0,4,Primera,Mañana,Línea 3,84.0,4.5,173.91,62.6
2023-03-01,2023,El Paraíso,EP-04,Génova,3641.0,2054.0,732.0,855.0,3,Primera,Tarde,Línea 1,114.0,4.5,247.79,56.4
2023-03-08,2023,El Paraíso,EP-04,Génova,3719.0,1970.0,746.0,1003.0,6,Extra,Tarde,Línea 3,109.0,4.5,299.76,53.0
2023-03-15,2023,El Paraíso,EP-04,Génova,3717.0,2284.0,634.0,799.0,5,Extra,Noche,Línea 2,127.0,4.5,297.06,61.4
2023-03-22,2023,El Paraíso,EP-04,Génova,4379.0,2372.0,974.0,1033.0,7,Segunda,Tarde,Línea 3,132.0,4.5,348.83,54.2
2023-03-29,2023,El Paraíso,EP-04,Génova,4500.0,2442.0,957.0,1101.0,5,Extra,Mañana,Línea 2,136.0,4.5,265.72,54.3
2023-04-05,2023,El Paraíso,EP-04,Génova,11925.0,7261.0,2214.0,2450.0,7,Segunda,Tarde,Línea 3,403.0,4.5,878.34,60.9
2023-04-12,2023,El Paraíso,EP-04,Génova,13233.0,8879.0,2158.0,2196.0,6,Primera,Noche,Línea 2,493.0,5.5,1018.09,67.1
2023-04-19,2023,El Paraíso,EP-04,Génova,11204.0,6794.0,2304.0,2106.0,4,Primera,Mañana,Línea 2,377.0,4.5,896.31,60.6
2023-04-26,2023,El Paraíso,EP-04,Génova,10896.0,6310.0,2239.0,2347.0,6,Segunda,Tarde,Línea 2,351.0,4.5,811.99,57.9
2023-05-03,2023,El Paraíso,EP-04,Génova,18895.0,12778.0,3167.0,2950.0,7,Segunda,Tarde,Línea 2,710.0,8.5,1499.55,67.6
2023-05-10,2023,El Paraíso,EP-04,Génova,15633.0,10134.0,2890.0,2609.0,5,Segunda,Mañana,Línea 2,563.0,6.1,933.62,64.8
2023-05-17,2023,El Paraíso,EP-04,Génova,19375.0,12457.0,3645.0,3273.0,3,Primera,Mañana,Línea 2,692.0,6.8,1293.29,64.3
2023-05-24,2023,El Paraíso,EP-04,Génova,14563.0,10111.0,2188.0,2264.0,4,Primera,Mañana,Línea 2,562.0,5.8,854.28,69.4
2023-05-31,2023,El Paraíso,EP-04,Génova,19408.0,12333.0,3471.0,3604.0,4,Segunda,Tarde,Línea 1,685.0,8.6,1140.08,63.5
2023-06-07,2023,El Paraíso,EP-04,Génova,16980.0,10356.0,3526.0,3098.0,5,Segunda,Mañana,Línea 2,575.0,7.0,1374.4,61.0
2023-06-14,2023,El Paraíso,EP-04,Génova,21928.0,14168.0,4038.0,3722.0,4,Extra,Noche,Línea 1,787.0,7.1,1789.68,64.6
2023-06-21,2023,El Paraíso,EP-04,Génova,19807.0,12211.0,3627.0,3969.0,6,Segunda,Mañana,Línea 1,678.0,6.8,1222.08,61.7
2023-06-28,2023,El Paraíso,EP-04,Génova,22522.0,13915.0,4495.0,4112.0,5,Primera,Tarde,Línea 1,773.0,6.9,1544.35,61.8
2023-07-05,2023,El Paraíso,EP-04,Génova,17819.0,11109.0,3670.0,3040.0,5,Primera,Tarde,Línea 2,617.0,6.2,1182.02,62.3
2023-07-12,2023,El Paraíso,EP-04,Génova,20727.0,13128.0,3770.0,3829.0,4,Segunda,Tarde,Línea 1,729.0,7.1,1445.37,63.3
2023-07-19,2023,El Paraíso,EP-04,Génova,23245.0,15395.0,4129.0,3721.0,6,Extra,Mañana,Línea 3,855.0,8.3,1460.52,66.2
2023-07-26,2023,El Paraíso,EP-04,Génova,20541.0,13916.0,3472.0,3153.0,2,Primera,Tarde,Línea 2,773.0,7.8,1303.65,67.7
2023-08-02,2023,El Paraíso,EP-04,Génova,18220.0,11800.0,3541.0,2879.0,5,Segunda,Mañana,Línea 3,656.0,7.9,1402.43,64.8
2023-08-09,2023,El Paraíso,EP-04,Génova,18565.0,12721.0,2944.0,2900.0,6,Extra,Tarde,Línea 2,707.0,6.3,1497.4,68.5
2023-08-16,2023,El Paraíso,EP-04,Génova,17308.0,11089.0,3398.0,2821.0,7,Segunda,Mañana,Línea 3,616.0,6.1,1159.77,64.1
2023-08-23,2023,El Paraíso,EP-04,Génova,18210.0,11850.0,3442.0,2918.0,6,Primera,Tarde,Línea 2,658.0,7.0,1279.63,65.1
2023-08-30,2023,El Paraíso,EP-04,Génova,17984.0,12065.0,3286.0,2633.0,3,Primera,Mañana,Línea 2,670.0,6.6,1455.72,67.1
2023-09-06,2023,El Paraíso,EP-04,Génova,13260.0,8096.0,2726.0,2438.0,6,Primera,Noche,Línea 3,450.0,4.7,1038.62,61.1
2023-09-13,2023,El Paraíso,EP-04,Génova,10248.0,6309.0,1949.0,1990.0,7,Primera,Mañana,Línea 1,350.0,4.5,822.23,61.6
2023-09-20,2023,El Paraíso,EP-04,Génova,11077.0,7135.0,2085.0,1857.0,6,Segunda,Mañana,Línea 3,396.0,4.5,826.57,64.4
2023-09-27,2023,El Paraíso,EP-04,Génova,13432.0,8699.0,2293.0,2440.0,6,Primera,Noche,Línea 3,483.0,5.6,1087.71,64.8
2023-10-04,2023,El Paraíso,EP-04,Génova,6021.0,3466.0,1262.0,1293.0,4,Segunda,Noche,Línea 1,193.0,4.5,391.79,57.6
2023-10-11,2023,El Paraíso,EP-04,Génova,5324.0,3204.0,958.0,1162.0,4,Primera,Noche,Línea 3,178.0,4.5,407.04,60.2
2023-10-18,2023,El Paraíso,EP-04,Génova,5587.0,3391.0,1153.0,1043.0,5,Primera,Mañana,Línea 2,188.0,4.5,335.93,60.7
2023-10-25,2023,El Paraíso,EP-04,Génova,5038.0,2761.0,978.0,1299.0,4,Primera,Noche,Línea 2,153.0,4.5,305.63,54.8
2023-11-01,2023,El Paraíso,EP-04,Génova,1697.0,898.0,340.0,459.0,4,Segunda,Noche,Línea 3,50.0,4.5,119.71,52.9
2023-11-08,2023,El Paraíso,EP-04,Génova,1850.0,1122.0,372.0,356.0,2,Segunda,Mañana,Línea 3,62.0,4.5,110.54,60.6
2023-11-15,2023,El Paraíso,EP-04,Génova,1789.0,1020.0,346.0,423.0,5,Segunda,Mañana,Línea 2,57.0,4.5,138.26,57.0
2023-11-22,2023,El Paraíso,EP-04,Génova,1916.0,1079.0,394.0,443.0,6,Primera,Noche,Línea 1,60.0,4.5,140.58,56.3
2023-11-29,2023,El Paraíso,EP-04,Génova,1636.0,958.0,317.0,361.0,4,Primera,Mañana,Línea 3,53.0,4.5,99.71,58.6
2023-03-01,2023,La Esperanza,LE-01,Eureka,11311.0,8706.0,1646.0,959.0,5,Primera,Tarde,Línea 2,484.0,6.0,841.34,77.0
2023-03-08,2023,La Esperanza,LE-01,Eureka,14437.0,9857.0,2616.0,1964.0,7,Primera,Mañana,Línea 2,548.0,5.0,1028.78,68.3
2023-03-15,2023,La Esperanza,LE-01,Eureka,13411.0,9341.0,2196.0,1874.0,4,Primera,Mañana,Línea 1,519.0,5.8,820.91,69.7
2023-03-22,2023,La Esperanza,LE-01,Eureka,13825.0,10192.0,2223.0,1410.0,4,Primera,Noche,Línea 3,566.0,6.2,801.89,73.7
2023-03-29,2023,La Esperanza,LE-01,Eureka,11166.0,8250.0,1484.0,1432.0,3,Extra,Tarde,Línea 3,458.0,4.5,648.65,73.9
