fecha,campaña,pedido_id,finca,lote,variedad,cliente,destino,pais_provincia,canal,producto,calibre,calidad,kg_vendidos,cajas,precio_unitario_usd,importe_usd,tipo_cambio,importe_ars,margen_estimado,moneda,estado_cobro,estado_pedido
2023-03-01,2023,PED-2023-00012,La Esperanza,LE-02,Eureka,Fischer Import GmbH,Exportación,Alemania,Programa Retail UE,Limón Eureka,3,Primera,7403.0,411.0,0.4258,3152.04,229.39,723046.46,0.2116,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00021,Los Álamos,LA-02,Lisbon,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Lisbon,4,Extra,3827.0,213.0,0.4102,1569.66,238.55,374442.39,0.2464,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00026,Río Ancho,RA-02,Lisbon,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Lisbon,4,Primera,5843.0,325.0,0.4031,2355.5,241.28,568335.04,0.294,USD,Pendiente,Cumplido
2023-03-01,2023,PED-2023-00007,El Paraíso,EP-03,Lisbon,Medifresh SA,Exportación,España,Programa Retail UE,Limón Lisbon,6,Segunda,3400.0,189.0,0.2971,1010.31,244.11,246626.77,0.1849,USD,Cobrado,Parcial
2023-03-01,2023,PED-2023-00009,La Esperanza,LE-01,Eureka,Medifresh SA,Exportación,España,Trader Golfo,Limón Eureka,5,Primera,5846.0,325.0,0.3668,2144.24,235.2,504325.25,0.2598,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00022,Los Álamos,LA-03,Génova,Medifresh SA,Exportación,España,Programa Retail UE,Limón Génova,3,Segunda,2008.0,112.0,0.3532,709.23,230.42,163420.78,0.2003,USD,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00003,El Paraíso,EP-01,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,5,Extra,1619.0,90.0,0.0738,119.55,241.87,28915.56,0.0344,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00006,El Paraíso,EP-02,Eureka,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,7,Primera,2196.0,122.0,0.0697,153.09,239.46,36658.93,0.0567,ARS,Cobrado,Parcial
2023-03-01,2023,PED-2023-00014,La Esperanza,LE-02,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,3,Primera,2829.0,157.0,0.0797,225.59,229.39,51748.09,0.0786,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00016,La Esperanza,LE-03,Lisbon,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,6,Primera,1666.0,93.0,0.0697,116.1,235.62,27355.48,0.0399,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00032,San Cayetano,SC-01,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,6,Segunda,1923.0,107.0,0.0647,124.35,240.41,29894.98,0.0589,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00034,San Cayetano,SC-02,Lisbon,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,5,Primera,1610.0,89.0,0.0716,115.26,234.85,27068.81,0.0749,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00011,La Esperanza,LE-01,Eureka,Frutales Tucumán SRL,Industria,Tucumán,Contrato Industria,Limón Industria,5,Primera,1646.0,91.0,0.0646,106.25,235.2,24990.0,0.0739,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00020,Los Álamos,LA-01,Eureka,Frutales Tucumán SRL,Industria,Tucumán,Contrato Industria,Limón Industria,4,Segunda,1800.0,100.0,0.0619,111.41,244.53,27243.09,0.0707,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00025,Río Ancho,RA-01,Eureka,Frutales Tucumán SRL,Industria,Tucumán,Mercado Industrial,Limón Industria,4,Segunda,3299.0,183.0,0.0653,215.52,240.47,51826.09,0.0437,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00028,Río Ancho,RA-02,Lisbon,Frutales Tucumán SRL,Industria,Tucumán,Mercado Industrial,Limón Industria,4,Primera,2278.0,127.0,0.0683,155.62,241.28,37547.99,0.0635,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00002,El Paraíso,EP-01,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Mercado Central,Limón Eureka,5,Extra,1962.0,109.0,0.249,488.58,241.87,118172.84,0.1655,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00005,El Paraíso,EP-02,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Distribuidor Regional,Limón Eureka,7,Primera,3093.0,172.0,0.2116,654.53,239.46,156733.75,0.1571,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00008,El Paraíso,EP-03,Lisbon,Central de Frutas SA,Mercado Interno,Buenos Aires,Mercado Central,Limón Lisbon,6,Segunda,1699.0,94.0,0.1956,332.28,244.11,81112.87,0.1889,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00013,La Esperanza,LE-02,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Mercado Central,Limón Eureka,3,Primera,2532.0,141.0,0.2279,576.99,229.39,132355.74,0.2055,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00024,Río Ancho,RA-01,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Retail Nacional,Limón Eureka,4,Segunda,3728.0,207.0,0.2121,790.78,240.47,190158.87,0.1175,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00031,San Cayetano,SC-01,Eureka,Frutales del Norte SRL,Mercado Interno,Salta,Mercado Central,Limón Eureka,6,Segunda,3019.0,168.0,0.1848,558.01,240.41,134151.18,0.1611,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00010,La Esperanza,LE-01,Eureka,Supermercados Norte SA,Mercado Interno,Tucumán,Distribuidor Regional,Limón Eureka,5,Primera,2860.0,159.0,0.2034,581.67,235.2,136808.78,0.1576,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00019,Los Álamos,LA-01,Eureka,Supermercados Norte SA,Mercado Interno,Tucumán,Distribuidor Regional,Limón Eureka,4,Segunda,2450.0,136.0,0.1951,478.02,244.53,116890.23,0.1175,ARS,Cobrado,Cumplido
2023-03-01,2023,PED-2023-00027,Río Ancho,RA-02,Lisbon,Supermercados Norte SA,Mercado Interno,Tucumán,Distribuidor Regional,Limón Lisbon,4,Primera,2075.0,115.0,0.2117,439.3,241.28,105994.3,0.1115,ARS,Pendiente,Cumplido
2023-03-08,2023,PED-2023-00038,El Paraíso,EP-02,Eureka,Al Salam Trading,Exportación,Emiratos Árabes,Trader Golfo,Limón Eureka,4,Segunda,5519.0,307.0,0.3039,1677.47,244.04,409369.78,0.1755,USD,Pendiente,Cumplido
2023-03-08,2023,PED-2023-00052,La Esperanza,LE-04,Génova,Al Salam Trading,Exportación,Emiratos Árabes,Exportación Directa,Limón Génova,7,Segunda,2285.0,127.0,0.2799,639.6,245.59,157079.36,0.2344,USD,Cobrado,Parcial
2023-03-08,2023,PED-2023-00064,Río Ancho,RA-03,Génova,Al Salam Trading,Exportación,Emiratos Árabes,Trader Golfo,Limón Génova,7,Segunda,2221.0,123.0,0.2778,617.04,242.34,149533.47,0.2199,USD,Pendiente,Cumplido
2023-03-08,2023,PED-2023-00043,La Esperanza,LE-01,Eureka,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Eureka,7,Primera,6969.0,387.0,0.3383,2357.96,246.35,580883.45,0.2442,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00056,Los Álamos,LA-02,Lisbon,Citrus World Ltd,Exportación,Reino Unido,Exportación Directa,Limón Lisbon,5,Primera,3473.0,193.0,0.3824,1328.2,243.7,323682.34,0.2483,USD,Cobrado,Parcial
2023-03-08,2023,PED-2023-00057,Los Álamos,LA-03,Génova,Citrus World Ltd,Exportación,Reino Unido,Programa Retail UE,Limón Génova,7,Primera,1935.0,108.0,0.3324,643.15,238.66,153494.18,0.2983,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00069,San Cayetano,SC-02,Lisbon,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Lisbon,3,Extra,4074.0,226.0,0.4105,1672.52,250.41,418815.73,0.2337,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00036,El Paraíso,EP-01,Eureka,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Eureka,3,Extra,6086.0,338.0,0.4132,2514.51,242.83,610598.46,0.1991,USD,Pendiente,Cumplido
2023-03-08,2023,PED-2023-00041,El Paraíso,EP-03,Lisbon,Fischer Import GmbH,Exportación,Alemania,Programa Retail UE,Limón Lisbon,7,Segunda,2806.0,156.0,0.3395,952.73,240.36,228998.18,0.2368,USD,Cobrado,Parcial
2023-03-08,2023,PED-2023-00046,La Esperanza,LE-02,Eureka,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Eureka,3,Segunda,7807.0,434.0,0.3886,3033.51,242.58,735868.86,0.1828,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00054,Los Álamos,LA-01,Eureka,Fischer Import GmbH,Exportación,Alemania,Programa Retail UE,Limón Eureka,2,Primera,5403.0,300.0,0.4456,2407.81,238.04,573155.09,0.2241,USD,Cobrado,Parcial
2023-03-08,2023,PED-2023-00066,San Cayetano,SC-01,Eureka,Fischer Import GmbH,Exportación,Alemania,Programa Retail UE,Limón Eureka,2,Primera,6394.0,355.0,0.4403,2815.26,234.54,660291.08,0.2099,USD,Pendiente,Cumplido
2023-03-08,2023,PED-2023-00071,San Cayetano,SC-03,Génova,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Génova,6,Segunda,2491.0,138.0,0.3671,914.41,244.37,223454.37,0.2653,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00049,La Esperanza,LE-03,Lisbon,Medifresh SA,Exportación,España,Programa Retail UE,Limón Lisbon,6,Primera,4020.0,223.0,0.3359,1350.21,243.17,328330.57,0.2929,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00058,Río Ancho,RA-01,Eureka,Medifresh SA,Exportación,España,Programa Retail UE,Limón Eureka,4,Primera,7531.0,418.0,0.3603,2713.22,240.74,653180.58,0.193,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00061,Río Ancho,RA-02,Lisbon,Medifresh SA,Exportación,España,Programa Retail UE,Limón Lisbon,3,Segunda,5152.0,286.0,0.3305,1702.9,240.06,408798.17,0.2642,USD,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00037,El Paraíso,EP-01,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,3,Extra,1643.0,91.0,0.0785,128.96,242.83,31315.36,0.0772,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00045,La Esperanza,LE-01,Eureka,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,7,Primera,2616.0,145.0,0.0672,175.7,246.35,43283.7,0.0315,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00048,La Esperanza,LE-02,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,3,Segunda,2394.0,133.0,0.0757,181.29,242.58,43977.33,0.0645,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00051,La Esperanza,LE-03,Lisbon,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,6,Primera,1711.0,95.0,0.0728,124.64,243.17,30308.71,0.0863,ARS,Cobrado,Parcial
2023-03-08,2023,PED-2023-00055,Los Álamos,LA-01,Eureka,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,2,Primera,1800.0,100.0,0.0791,142.3,238.04,33873.09,0.0351,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00060,Río Ancho,RA-01,Eureka,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,4,Primera,2815.0,156.0,0.0753,211.97,240.74,51029.66,0.0608,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00063,Río Ancho,RA-02,Lisbon,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,3,Segunda,1898.0,105.0,0.0698,132.45,240.06,31795.95,0.034,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00065,Río Ancho,RA-03,Génova,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,7,Segunda,1602.0,89.0,0.0645,103.33,242.34,25040.99,0.0694,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00068,San Cayetano,SC-01,Eureka,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,2,Primera,1987.0,110.0,0.0819,162.67,234.54,38152.62,0.0346,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00070,San Cayetano,SC-02,Lisbon,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,3,Extra,1663.0,92.0,0.0805,133.89,250.41,33527.39,0.0495,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00040,El Paraíso,EP-02,Eureka,Frutales Tucumán SRL,Industria,Tucumán,Mercado Industrial,Limón Industria,4,Segunda,1541.0,86.0,0.061,93.94,244.04,22925.12,0.0511,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00072,San Cayetano,SC-03,Génova,Frutales Tucumán SRL,Industria,Tucumán,Mercado Industrial,Limón Industria,6,Segunda,1572.0,87.0,0.0578,90.8,244.37,22188.8,0.0765,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00039,El Paraíso,EP-02,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Mercado Central,Limón Eureka,4,Segunda,2727.0,152.0,0.2169,591.51,244.04,144352.1,0.1329,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00042,El Paraíso,EP-03,Lisbon,Central de Frutas SA,Mercado Interno,Buenos Aires,Mercado Central,Limón Lisbon,7,Segunda,1699.0,94.0,0.1872,317.99,240.36,76432.08,0.1813,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00053,La Esperanza,LE-04,Génova,Central de Frutas SA,Mercado Interno,Buenos Aires,Mercado Central,Limón Génova,7,Segunda,1601.0,89.0,0.191,305.71,245.59,75079.32,0.1537,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00059,Río Ancho,RA-01,Eureka,Frutales del Norte SRL,Mercado Interno,Salta,Retail Nacional,Limón Eureka,4,Primera,3025.0,168.0,0.1998,604.35,240.74,145491.22,0.1181,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00067,San Cayetano,SC-01,Eureka,Frutales del Norte SRL,Mercado Interno,Salta,Distribuidor Regional,Limón Eureka,2,Primera,1996.0,111.0,0.2188,436.71,234.54,102425.96,0.1302,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00044,La Esperanza,LE-01,Eureka,La Morenita SA,Mercado Interno,Tucumán,Retail Nacional,Limón Eureka,7,Primera,2888.0,160.0,0.2117,611.44,246.35,150628.24,0.1229,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00047,La Esperanza,LE-02,Eureka,Supermercados Norte SA,Mercado Interno,Tucumán,Retail Nacional,Limón Eureka,3,Segunda,2620.0,146.0,0.2032,532.47,242.58,129166.57,0.1235,ARS,Pendiente,Cumplido
2023-03-08,2023,PED-2023-00050,La Esperanza,LE-03,Lisbon,Supermercados Norte SA,Mercado Interno,Tucumán,Mercado Central,Limón Lisbon,6,Primera,1704.0,95.0,0.1914,326.13,243.17,79305.03,0.1955,ARS,Cobrado,Cumplido
2023-03-08,2023,PED-2023-00062,Río Ancho,RA-02,Lisbon,Supermercados Norte SA,Mercado Interno,Tucumán,Retail Nacional,Limón Lisbon,3,Segunda,2444.0,136.0,0.2148,524.96,240.06,126021.9,0.1341,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00078,El Paraíso,EP-03,Lisbon,Al Salam Trading,Exportación,Emiratos Árabes,Exportación Directa,Limón Lisbon,3,Segunda,3034.0,169.0,0.3417,1036.67,250.43,259613.27,0.2055,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00081,La Esperanza,LE-01,Eureka,Al Salam Trading,Exportación,Emiratos Árabes,Trader Golfo,Limón Eureka,4,Primera,6506.0,361.0,0.3442,2239.42,235.15,526599.61,0.2053,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00089,Los Álamos,LA-01,Eureka,Al Salam Trading,Exportación,Emiratos Árabes,Programa Retail UE,Limón Eureka,5,Primera,5422.0,301.0,0.3325,1802.82,250.97,452453.74,0.1979,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00092,Los Álamos,LA-02,Lisbon,Al Salam Trading,Exportación,Emiratos Árabes,Exportación Directa,Limón Lisbon,7,Primera,3607.0,200.0,0.3208,1156.99,239.39,276971.84,0.213,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00098,Río Ancho,RA-02,Lisbon,Al Salam Trading,Exportación,Emiratos Árabes,Exportación Directa,Limón Lisbon,5,Segunda,5904.0,328.0,0.302,1783.24,239.28,426693.67,0.2731,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00073,El Paraíso,EP-01,Eureka,Citrus World Ltd,Exportación,Reino Unido,Programa Retail UE,Limón Eureka,2,Primera,5172.0,287.0,0.4207,2175.65,242.67,527964.99,0.2058,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00087,La Esperanza,LE-03,Lisbon,Citrus World Ltd,Exportación,Reino Unido,Programa Retail UE,Limón Lisbon,7,Primera,3617.0,201.0,0.3476,1257.32,245.63,308835.51,0.2599,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00101,Río Ancho,RA-03,Génova,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Génova,7,Segunda,1810.0,101.0,0.3048,551.66,237.96,131273.01,0.2381,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00108,San Cayetano,SC-03,Génova,Citrus World Ltd,Exportación,Reino Unido,Trader Golfo,Limón Génova,4,Segunda,2788.0,155.0,0.3491,973.35,234.5,228250.58,0.2026,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00084,La Esperanza,LE-02,Eureka,Fischer Import GmbH,Exportación,Alemania,Trader Golfo,Limón Eureka,5,Primera,7162.0,398.0,0.4003,2866.99,245.34,703387.33,0.257,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00094,Los Álamos,LA-03,Génova,Fischer Import GmbH,Exportación,Alemania,Exportación Directa,Limón Génova,4,Primera,2154.0,120.0,0.4207,906.14,251.9,228256.67,0.2714,USD,Pendiente,Cumplido
2023-03-15,2023,PED-2023-00075,El Paraíso,EP-02,Eureka,Medifresh SA,Exportación,España,Exportación Directa,Limón Eureka,6,Primera,5290.0,294.0,0.3442,1820.56,238.65,434476.64,0.1876,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00080,El Paraíso,EP-04,Génova,Medifresh SA,Exportación,España,Programa Retail UE,Limón Génova,5,Extra,1725.0,96.0,0.3824,659.65,246.26,162445.41,0.2196,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00088,La Esperanza,LE-04,Génova,Medifresh SA,Exportación,España,Exportación Directa,Limón Génova,6,Extra,2756.0,153.0,0.3689,1016.75,244.66,248758.06,0.2888,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00095,Río Ancho,RA-01,Eureka,Medifresh SA,Exportación,España,Programa Retail UE,Limón Eureka,4,Primera,10026.0,557.0,0.3571,3580.56,230.39,824925.22,0.288,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00102,San Cayetano,SC-01,Eureka,Medifresh SA,Exportación,España,Exportación Directa,Limón Eureka,3,Primera,6232.0,346.0,0.3625,2258.89,236.47,534159.72,0.2579,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00105,San Cayetano,SC-02,Lisbon,Medifresh SA,Exportación,España,Trader Golfo,Limón Lisbon,6,Segunda,3523.0,196.0,0.3309,1165.65,245.59,286271.98,0.2009,USD,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00077,El Paraíso,EP-02,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,6,Primera,1625.0,90.0,0.072,117.02,238.65,27926.82,0.0434,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00083,La Esperanza,LE-01,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,4,Primera,2196.0,122.0,0.0764,167.68,235.15,39429.95,0.0569,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00086,La Esperanza,LE-02,Eureka,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,5,Primera,2816.0,156.0,0.0697,196.14,245.34,48120.99,0.0326,ARS,Pendiente,Parcial
2023-03-15,2023,PED-2023-00097,Río Ancho,RA-01,Eureka,Citromax SA,Industria,Tucumán,Contrato Industria,Limón Industria,4,Primera,3550.0,197.0,0.0763,270.75,230.39,62378.09,0.0779,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00107,San Cayetano,SC-02,Lisbon,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,6,Segunda,1542.0,86.0,0.0641,98.9,245.59,24288.85,0.0379,ARS,Pendiente,Cumplido
2023-03-15,2023,PED-2023-00109,San Cayetano,SC-03,Génova,Citromax SA,Industria,Tucumán,Mercado Industrial,Limón Industria,4,Segunda,1554.0,86.0,0.0716,111.33,234.5,26106.88,0.0535,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00091,Los Álamos,LA-01,Eureka,Frutales Tucumán SRL,Industria,Tucumán,Mercado Industrial,Limón Industria,5,Primera,1567.0,87.0,0.0672,105.29,250.97,26424.63,0.0826,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00100,Río Ancho,RA-02,Lisbon,Frutales Tucumán SRL,Industria,Tucumán,Contrato Industria,Limón Industria,5,Segunda,2191.0,122.0,0.0635,139.21,239.28,33310.17,0.0521,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00104,San Cayetano,SC-01,Eureka,Frutales Tucumán SRL,Industria,Tucumán,Contrato Industria,Limón Industria,3,Primera,2293.0,127.0,0.0667,152.99,236.47,36177.55,0.0817,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00076,El Paraíso,EP-02,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Distribuidor Regional,Limón Eureka,6,Primera,2430.0,135.0,0.2121,515.31,238.65,122978.73,0.21,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00082,La Esperanza,LE-01,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Distribuidor Regional,Limón Eureka,4,Primera,2835.0,158.0,0.2456,696.29,235.15,163732.59,0.1347,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00096,Río Ancho,RA-01,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Retail Nacional,Limón Eureka,4,Primera,3480.0,193.0,0.2269,789.74,230.39,181948.2,0.1102,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00103,San Cayetano,SC-01,Eureka,Central de Frutas SA,Mercado Interno,Buenos Aires,Retail Nacional,Limón Eureka,3,Primera,1725.0,96.0,0.2307,397.95,236.47,94103.24,0.1818,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00093,Los Álamos,LA-02,Lisbon,Frutales del Norte SRL,Mercado Interno,Salta,Retail Nacional,Limón Lisbon,7,Primera,1648.0,92.0,0.1918,316.1,239.39,75671.18,0.177,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00106,San Cayetano,SC-02,Lisbon,Frutales del Norte SRL,Mercado Interno,Salta,Distribuidor Regional,Limón Lisbon,6,Segunda,1810.0,101.0,0.1743,315.54,245.59,77493.47,0.1511,ARS,Vencido,Cumplido
2023-03-15,2023,PED-2023-00074,El Paraíso,EP-01,Eureka,La Morenita SA,Mercado Interno,Tucumán,Distribuidor Regional,Limón Eureka,2,Primera,1655.0,92.0,0.2229,368.98,242.67,89540.38,0.1722,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00079,El Paraíso,EP-03,Lisbon,La Morenita SA,Mercado Interno,Tucumán,Retail Nacional,Limón Lisbon,3,Segunda,1592.0,88.0,0.2179,346.88,250.43,86869.16,0.1833,ARS,Cobrado,Cumplido
2023-03-15,2023,PED-2023-00090,Los Álamos,LA-01,Eureka,La Morenita SA,Mercado Interno,Tucumán,Retail Nacional,Limón Eureka,5,Primera,2343.0,130.0,0.2138,501.01,250.97,125738.48,0.1152,ARS,Cobrado,Cumplido
