fecha,campaña,dolar_referencia,lluvia_mm,temperatura_min,temperatura_max,precio_referencia_usd,indice_riesgo_climatico
2023-04-17,2023,262.94,2.37,12.5,22.5,0.342,2.44
2023-04-18,2023,261.99,1.23,10.7,24.1,0.398,1.97
2023-04-19,2023,258.31,1.1,15.5,25.5,0.368,2.01
2023-04-20,2023,259.53,2.88,13.5,28.2,0.353,2.16
2023-04-21,2023,256.96,0.97,12.7,27.4,0.358,1.03
2023-04-22,2023,258.41,0.03,11.2,23.5,0.358,1.21
2023-04-23,2023,271.51,1.43,12.2,28.3,0.367,2.11
2023-04-24,2023,265.71,2.41,11.2,24.0,0.357,2.36
2023-04-25,2023,265.2,0.6,10.5,24.2,0.38,1.45
2023-04-26,2023,263.3,0.7,11.8,23.8,0.352,2.66
2023-04-27,2023,262.1,1.26,12.5,22.8,0.361,2.1
2023-04-28,2023,263.09,3.14,10.7,27.0,0.386,2.08
2023-04-29,2023,262.11,1.63,11.0,24.8,0.368,2.5
2023-04-30,2023,265.36,0.0,15.2,22.7,0.374,2.03
2023-05-01,2023,269.98,3.7,13.2,24.1,0.387,2.71
2023-05-02,2023,273.76,3.93,14.4,22.2,0.367,3.6
2023-05-03,2023,259.33,5.74,13.9,23.9,0.391,3.73
2023-05-04,2023,270.59,5.81,13.3,25.4,0.386,3.99
2023-05-05,2023,268.04,0.46,11.3,27.2,0.39,1.55
2023-05-06,2023,265.83,4.92,14.8,23.7,0.397,3.43
2023-05-07,2023,268.67,0.22,13.1,24.6,0.38,1.71
2023-05-08,2023,261.51,1.04,14.4,24.5,0.394,1.36
2023-05-09,2023,273.16,5.62,14.9,28.9,0.396,2.38
2023-05-10,2023,277.2,0.66,13.9,26.9,0.384,1.67
2023-05-11,2023,265.0,4.59,11.8,25.9,0.38,2.29
2023-05-12,2023,272.49,3.71,12.0,23.8,0.398,3.13
2023-05-13,2023,274.96,1.75,12.6,23.9,0.374,2.97
2023-05-14,2023,281.69,1.94,13.8,27.9,0.405,1.33
2023-05-15,2023,269.86,0.32,13.6,24.8,0.371,1.19
2023-05-16,2023,270.84,0.85,14.9,25.5,0.411,1.11
2023-05-17,2023,275.37,4.47,13.3,25.4,0.378,2.81
2023-05-18,2023,276.53,4.32,13.7,22.3,0.38,3.96
2023-05-19,2023,275.64,0.39,11.2,24.3,0.392,2.17
2023-05-20,2023,277.08,1.71,10.3,25.7,0.373,2.52
2023-05-21,2023,272.05,1.0,10.1,26.4,0.378,1.31
2023-05-22,2023,280.54,7.35,13.5,28.9,0.386,3.38
2023-05-23,2023,276.76,1.5,12.5,27.3,0.418,1.14
2023-05-24,2023,279.36,3.43,14.1,25.4,0.386,3.25
2023-05-25,2023,275.2,2.34,13.3,28.5,0.389,1.14
2023-05-26,2023,282.04,1.93,14.8,27.6,0.401,1.29
2023-05-27,2023,280.77,0.3,13.7,22.3,0.407,2.5
2023-05-28,2023,279.23,0.96,15.8,22.3,0.381,2.28
2023-05-29,2023,276.87,5.05,10.8,25.4,0.399,3.57
2023-05-30,2023,283.84,2.81,12.3,27.0,0.396,2.09
2023-05-31,2023,280.22,2.26,10.1,26.5,0.374,2.03
2023-06-01,2023,283.7,1.48,6.4,21.8,0.392,2.4
2023-06-02,2023,285.66,0.03,6.3,19.0,0.379,2.78
2023-06-03,2023,289.05,1.24,4.1,17.9,0.418,3.55
2023-06-04,2023,283.86,0.26,9.1,16.0,0.408,3.55
2023-06-05,2023,284.7,0.58,6.7,16.8,0.418,3.14
2023-06-06,2023,283.24,0.04,5.9,16.5,0.377,3.21
2023-06-07,2023,281.38,0.58,8.3,16.2,0.398,3.39
2023-06-08,2023,291.33,0.1,6.9,18.3,0.398,3.24
2023-06-09,2023,285.3,1.41,5.7,21.7,0.414,2.01
2023-06-10,2023,291.49,0.03,7.4,21.6,0.398,2.31
2023-06-11,2023,286.76,1.08,4.7,18.9,0.406,2.43
2023-06-12,2023,284.39,1.35,4.9,17.7,0.395,2.78
2023-06-13,2023,290.74,0.15,9.1,19.9,0.413,1.96
2023-06-14,2023,289.44,0.9,4.5,17.6,0.405,3.56
2023-06-15,2023,286.83,3.78,7.4,16.7,0.364,5.0
2023-06-16,2023,286.49,0.46,9.2,18.7,0.394,3.23
2023-06-17,2023,294.37,0.81,8.6,17.4,0.41,2.75
2023-06-18,2023,287.16,0.03,8.0,18.0,0.404,2.51
2023-06-19,2023,286.83,1.0,7.8,18.5,0.377,2.6
2023-06-20,2023,291.15,1.15,6.0,19.8,0.406,2.45
2023-06-21,2023,287.21,0.29,5.3,19.2,0.404,2.25
2023-06-22,2023,293.08,0.17,7.4,21.5,0.389,2.47
2023-06-23,2023,291.36,0.66,8.0,20.0,0.406,2.16
2023-06-24,2023,296.6,1.12,8.8,19.7,0.42,2.83
2023-06-25,2023,294.05,0.78,4.3,16.7,0.391,3.13
2023-06-26,2023,292.27,0.14,5.2,16.1,0.409,3.33
2023-06-27,2023,298.83,0.55,5.3,21.3,0.397,2.02
2023-06-28,2023,289.14,0.38,6.3,19.0,0.406,2.59
2023-06-29,2023,296.76,0.64,6.1,20.4,0.416,3.18
2023-06-30,2023,294.83,0.53,7.5,17.1,0.366,2.86
2023-07-01,2023,297.69,0.2,6.8,18.7,0.393,2.62
2023-07-02,2023,304.42,0.78,8.3,19.6,0.404,3.38
2023-07-03,2023,293.09,0.6,4.5,18.0,0.393,3.57
2023-07-04,2023,299.55,0.02,4.2,21.1,0.405,2.81
2023-07-05,2023,296.47,0.64,9.9,16.7,0.417,2.88
2023-07-06,2023,306.42,2.0,10.0,18.1,0.39,2.95
2023-07-07,2023,303.89,1.51,7.4,18.2,0.39,2.64
2023-07-08,2023,304.87,0.07,5.4,19.4,0.415,2.17
2023-07-09,2023,306.53,0.55,7.6,19.6,0.411,2.58
2023-07-10,2023,299.94,0.93,6.5,20.0,0.4,2.56
2023-07-11,2023,299.52,0.89,7.8,19.3,0.385,2.55
2023-07-12,2023,305.98,0.98,6.2,17.5,0.384,3.81
2023-07-13,2023,304.96,0.2,6.8,16.8,0.376,3.64
2023-07-14,2023,305.53,0.09,7.0,21.5,0.409,1.97
2023-07-15,2023,305.15,2.76,4.8,18.7,0.417,3.85
2023-07-16,2023,310.55,0.07,4.2,18.7,0.411,2.98
2023-07-17,2023,301.73,0.43,10.0,17.0,0.393,2.69
2023-07-18,2023,308.0,3.33,6.6,18.3,0.413,4.42
2023-07-19,2023,304.73,0.28,4.9,20.3,0.388,2.29
2023-07-20,2023,299.38,0.48,5.2,18.6,0.409,2.68
2023-07-21,2023,305.51,1.09,4.2,17.1,0.407,3.65
2023-07-22,2023,307.41,0.63,5.2,16.7,0.388,3.43
2023-07-23,2023,309.73,0.93,9.2,20.4,0.397,2.32
2023-07-24,2023,308.63,2.08,4.2,16.9,0.408,4.0
2023-07-25,2023,302.55,0.57,7.9,19.3,0.41,2.12
2023-07-26,2023,308.0,0.34,4.3,19.0,0.405,2.61
2023-07-27,2023,310.78,1.4,5.4,20.6,0.411,3.49
2023-07-28,2023,310.32,0.62,6.8,17.3,0.418,2.78
2023-07-29,2023,314.81,1.64,7.5,17.9,0.41,2.98
2023-07-30,2023,313.42,0.42,4.2,21.1,0.386,2.53
2023-07-31,2023,311.45,1.99,8.4,19.2,0.4,2.81
2023-08-01,2023,305.54,0.43,9.3,21.6,0.371,2.86
2023-08-02,2023,307.31,0.11,8.1,21.3,0.409,2.86
2023-08-03,2023,311.23,2.08,6.3,17.9,0.384,3.49
2023-08-04,2023,309.94,1.09,4.9,18.4,0.367,3.54
2023-08-05,2023,308.54,1.59,9.9,20.7,0.4,3.45
2023-08-06,2023,319.35,0.21,8.1,20.6,0.383,1.99
2023-08-07,2023,318.77,0.17,8.8,18.1,0.387,3.4
2023-08-08,2023,310.92,1.41,6.7,19.8,0.401,2.79
2023-08-09,2023,309.15,3.24,7.9,17.3,0.385,3.72
2023-08-10,2023,311.89,0.31,7.6,18.6,0.376,3.25
2023-08-11,2023,313.58,0.56,5.3,20.6,0.387,2.12
2023-08-12,2023,321.33,0.34,8.2,20.9,0.363,1.85
2023-08-13,2023,319.83,0.52,6.4,20.5,0.364,2.52
2023-08-14,2023,311.78,0.06,5.9,19.7,0.379,2.76
2023-08-15,2023,320.61,1.49,6.7,20.6,0.392,2.43
2023-08-16,2023,313.61,0.15,4.7,21.6,0.379,2.22
2023-08-17,2023,317.58,0.66,9.5,17.6,0.364,3.25
2023-08-18,2023,315.07,1.62,7.4,18.2,0.39,3.24
2023-08-19,2023,326.58,1.21,7.8,16.6,0.392,3.7
2023-08-20,2023,321.01,0.05,4.9,18.9,0.385,2.54
2023-08-21,2023,329.67,2.6,9.8,21.6,0.393,3.66
2023-08-22,2023,317.29,1.45,7.4,17.3,0.389,3.16
2023-08-23,2023,325.59,0.56,5.1,19.7,0.376,2.22
2023-08-24,2023,324.3,0.82,6.2,17.6,0.402,3.58
2023-08-25,2023,317.95,1.32,5.1,21.5,0.394,2.32
2023-08-26,2023,324.8,0.52,6.5,16.5,0.414,2.68
2023-08-27,2023,324.77,0.18,4.2,18.5,0.394,2.58
2023-08-28,2023,330.4,1.0,4.3,17.1,0.389,2.71
2023-08-29,2023,326.5,2.83,9.5,18.8,0.366,4.29
2023-08-30,2023,326.69,0.16,5.5,21.3,0.374,2.98
2023-08-31,2023,334.66,0.87,5.1,18.5,0.374,2.71
2023-09-01,2023,314.97,1.04,14.9,22.5,0.341,2.38
2023-09-02,2023,328.04,0.11,15.0,24.2,0.367,1.94
2023-09-03,2023,326.46,0.52,12.6,24.8,0.359,1.24
2023-09-04,2023,332.43,1.23,13.6,25.1,0.359,1.77
2023-09-05,2023,332.06,3.32,12.9,26.5,0.34,2.21
2023-09-06,2023,328.79,0.43,10.2,22.8,0.344,1.76
2023-09-07,2023,325.15,1.04,14.5,23.5,0.375,1.74
2023-09-08,2023,327.29,2.09,10.9,25.4,0.362,2.62
2023-09-09,2023,329.94,0.71,12.1,26.8,0.363,1.56
2023-09-10,2023,328.71,0.14,13.4,27.0,0.354,0.97
2023-09-11,2023,341.56,1.65,14.2,25.3,0.362,1.82
2023-09-12,2023,336.85,0.28,13.2,23.8,0.384,2.03
2023-09-13,2023,335.52,0.4,15.7,23.5,0.372,1.3
2023-09-14,2023,341.06,1.56,11.9,23.3,0.355,1.85
2023-09-15,2023,336.68,0.23,11.2,22.9,0.359,1.8
2023-09-16,2023,325.78,1.43,13.4,23.7,0.359,1.66
2023-09-17,2023,336.97,0.36,11.4,22.5,0.364,1.8
2023-09-18,2023,345.65,0.22,14.6,22.7,0.348,2.34
2023-09-19,2023,338.14,0.15,15.9,26.2,0.329,2.13
2023-09-20,2023,339.07,2.03,15.8,22.6,0.353,2.47
2023-09-21,2023,331.07,0.34,11.7,26.3,0.355,1.78
2023-09-22,2023,341.49,0.14,13.2,25.9,0.375,1.84
2023-09-23,2023,340.21,0.36,15.8,22.3,0.337,1.94
2023-09-24,2023,336.34,2.03,11.1,26.1,0.361,2.47
2023-09-25,2023,330.21,0.14,10.4,25.2,0.345,1.75
2023-09-26,2023,338.27,0.88,11.4,25.9,0.375,1.73
2023-09-27,2023,340.34,2.68,11.6,25.1,0.38,3.05
2023-09-28,2023,345.94,0.15,13.1,27.0,0.343,1.23
2023-09-29,2023,340.88,0.2,11.0,23.1,0.351,2.44
2023-09-30,2023,338.41,0.01,11.3,24.1,0.364,1.65
2023-10-01,2023,342.33,1.86,10.8,22.5,0.315,2.08
2023-10-02,2023,335.5,1.31,14.6,23.4,0.328,1.69
2023-10-03,2023,342.45,1.61,10.0,25.9,0.318,2.47
2023-10-04,2023,344.77,0.83,14.6,26.5,0.319,2.21
2023-10-05,2023,340.46,0.43,11.1,22.6,0.332,2.6
2023-10-06,2023,344.59,0.14,13.4,27.0,0.325,1.23
2023-10-07,2023,349.05,0.76,10.8,22.2,0.327,1.86
2023-10-08,2023,337.71,5.08,10.8,26.4,0.328,3.36
2023-10-09,2023,345.31,0.8,15.0,25.3,0.322,2.28
2023-10-10,2023,342.18,0.06,14.2,24.3,0.338,1.77
2023-10-11,2023,341.03,1.87,12.6,23.6,0.327,2.22
2023-10-12,2023,343.67,0.45,13.1,25.0,0.326,2.43
2023-10-13,2023,354.17,2.34,10.2,22.9,0.336,3.38
2023-10-14,2023,355.67,4.83,12.5,24.1,0.302,3.62
2023-10-15,2023,350.38,0.71,13.7,23.5,0.319,2.71
2023-10-16,2023,347.24,2.08,11.1,23.0,0.339,2.46
2023-10-17,2023,353.06,1.15,15.2,24.7,0.32,2.52
2023-10-18,2023,352.63,0.45,13.2,26.5,0.33,1.64
2023-10-19,2023,351.61,1.17,12.5,26.8,0.346,1.35
2023-10-20,2023,349.96,0.28,11.7,25.9,0.333,1.59
2023-10-21,2023,356.13,3.27,11.4,25.9,0.298,2.12
2023-10-22,2023,349.1,0.46,14.5,25.2,0.331,1.1
2023-10-23,2023,352.59,9.54,14.6,26.3,0.32,5.08
2023-10-24,2023,345.34,1.41,10.6,24.6,0.308,2.72
2023-10-25,2023,357.5,1.37,11.6,25.2,0.318,2.63
2023-10-26,2023,349.87,3.05,13.4,25.0,0.33,2.1
2023-10-27,2023,351.15,3.57,14.4,22.7,0.316,2.96
2023-10-28,2023,361.63,0.25,10.9,26.5,0.308,2.1
2023-10-29,2023,353.48,2.2,13.5,22.7,0.306,2.14
2023-10-30,2023,352.92,2.8,11.4,24.8,0.33,2.01
2023-10-31,2023,356.92,1.27,14.6,24.9,0.326,1.42
2023-11-01,2023,355.86,3.31,13.2,22.9,0.315,3.67
2023-11-02,2023,354.95,17.9,15.9,26.5,0.32,6.54
2023-11-03,2023,359.3,3.26,14.1,26.7,0.308,2.64
2023-11-04,2023,350.4,1.03,14.6,24.6,0.316,1.79
2023-11-05,2023,354.67,8.67,11.9,26.3,0.305,3.86
2023-11-06,2023,362.8,1.65,11.8,26.5,0.328,1.45
2023-11-07,2023,359.07,4.46,11.5,23.8,0.309,2.73
2023-11-08,2023,365.7,0.39,12.7,22.6,0.313,2.62
2023-11-09,2023,360.11,9.55,14.6,25.6,0.315,4.35
2023-11-10,2023,366.81,10.87,10.6,24.3,0.291,5.41
2023-11-11,2023,362.21,0.74,12.8,26.7,0.318,2.21
2023-11-12,2023,366.83,0.11,13.4,26.4,0.302,1.56
2023-11-13,2023,357.32,3.74,12.7,23.0,0.318,2.58
2023-11-14,2023,375.1,1.29,15.6,25.0,0.293,2.03
2023-11-15,2023,368.24,21.47,12.0,26.4,0.312,7.76
2023-11-16,2023,356.02,3.96,14.9,24.0,0.317,2.39
2023-11-17,2023,362.92,4.4,14.4,25.3,0.303,3.23
2023-11-18,2023,363.68,2.45,15.0,22.4,0.311,3.25
2023-11-19,2023,358.83,0.63,14.0,23.6,0.299,1.39
2023-11-20,2023,370.13,7.73,13.4,23.2,0.304,4.05
2023-11-21,2023,359.77,6.57,14.1,24.7,0.305,3.35
2023-11-22,2023,365.76,4.07,16.0,24.0,0.291,2.77
2023-11-23,2023,371.1,1.96,11.3,26.1,0.316,2.47
2023-11-24,2023,366.07,1.33,15.0,23.4,0.282,2.32
2023-11-25,2023,374.71,0.25,10.3,26.9,0.313,0.86
2023-11-26,2023,362.88,0.27,10.6,22.8,0.296,2.09
2023-11-27,2023,363.61,4.02,12.6,24.4,0.3,3.53
2023-11-28,2023,366.85,13.63,13.8,22.3,0.296,7.1
2023-11-29,2023,371.49,0.46,12.2,26.9,0.312,0.73
2023-11-30,2023,364.78,0.77,10.1,26.0,0.305,2.2
2024-03-01,2024,902.29,1.6,12.5,25.7,0.308,1.6
2024-03-02,2024,907.74,1.53,10.5,22.4,0.313,2.28
2024-03-03,2024,901.38,10.59,15.4,26.5,0.324,4.77
2024-03-04,2024,903.67,4.03,14.3,28.2,0.312,2.73
2024-03-05,2024,889.69,3.15,10.8,27.1,0.341,2.61
2024-03-06,2024,870.22,12.35,15.6,23.9,0.327,5.11
2024-03-07,2024,904.07,11.94,13.5,27.2,0.34,5.31
2024-03-08,2024,898.91,5.84,11.7,23.1,0.314,4.01
2024-03-09,2024,882.52,9.08,14.7,26.1,0.315,4.5
2024-03-10,2024,883.06,0.04,15.0,25.8,0.335,1.16
2024-03-11,2024,903.93,0.18,10.3,25.6,0.32,1.16
2024-03-12,2024,895.23,0.51,12.3,22.8,0.334,1.65
2024-03-13,2024,905.09,1.59,11.2,26.5,0.338,1.33
2024-03-14,2024,895.68,0.25,13.7,28.6,0.324,1.68
2024-03-15,2024,887.19,0.44,11.3,24.3,0.318,1.71
2024-03-16,2024,896.09,7.16,13.3,28.8,0.317,2.63
2024-03-17,2024,908.0,3.05,13.6,25.6,0.323,1.97
2024-03-18,2024,884.16,8.17,12.5,22.4,0.328,5.35
2024-03-19,2024,908.17,7.95,10.3,26.5,0.326,3.73
2024-03-20,2024,884.93,3.25,12.6,28.4,0.337,2.31
2024-03-21,2024,913.11,1.41,12.8,23.9,0.332,2.36
2024-03-22,2024,922.15,5.79,13.9,27.4,0.32,2.69
2024-03-23,2024,889.54,6.04,13.2,22.4,0.319,4.39
2024-03-24,2024,894.11,10.85,10.3,26.6,0.341,5.19
2024-03-25,2024,914.91,1.55,11.3,26.1,0.314,2.02
2024-03-26,2024,893.97,2.35,14.8,28.1,0.341,2.18
2024-03-27,2024,888.59,3.2,11.5,24.1,0.344,2.8
2024-03-28,2024,896.87,9.75,10.7,23.2,0.334,5.19
2024-03-29,2024,921.62,0.54,13.0,28.8,0.357,0.42
2024-03-30,2024,911.83,2.68,12.5,27.5,0.327,2.38
2024-03-31,2024,918.67,5.81,14.8,26.8,0.329,3.22
2024-04-01,2024,933.8,0.75,11.1,27.8,0.347,1.61
2024-04-02,2024,910.13,1.93,15.9,27.6,0.362,1.33
2024-04-03,2024,948.99,5.79,12.1,24.8,0.389,4.07
2024-04-04,2024,883.8,0.96,13.1,23.8,0.384,1.84
2024-04-05,2024,895.56,0.82,14.4,28.2,0.371,1.09
2024-04-06,2024,894.69,1.05,13.2,26.4,0.365,1.41
2024-04-07,2024,919.93,0.27,15.3,23.0,0.368,1.42
2024-04-08,2024,892.08,2.05,13.7,25.2,0.373,1.9
2024-04-09,2024,906.07,1.02,13.8,28.6,0.37,1.06
2024-04-10,2024,918.12,1.35,10.7,28.5,0.384,0.85
2024-04-11,2024,883.32,0.21,11.9,26.5,0.367,1.58
2024-04-12,2024,894.87,6.36,11.1,22.2,0.354,4.24
2024-04-13,2024,901.78,2.97,15.4,25.4,0.394,2.25
2024-04-14,2024,909.96,1.09,14.4,26.9,0.359,2.0
2024-04-15,2024,909.96,0.85,12.0,26.7,0.37,2.05
2024-04-16,2024,916.52,0.93,12.9,22.6,0.373,2.42
2024-04-17,2024,912.95,1.68,13.8,27.5,0.35,1.07
2024-04-18,2024,923.16,1.06,14.3,27.9,0.345,1.34
2024-04-19,2024,922.33,1.35,11.3,27.3,0.361,1.79
2024-04-20,2024,916.57,1.06,11.2,24.7,0.349,2.49
2024-04-21,2024,912.0,1.9,12.6,26.3,0.381,2.43
2024-04-22,2024,947.9,2.02,14.9,24.9,0.378,2.47
2024-04-23,2024,916.57,1.21,14.0,23.1,0.383,1.82
2024-04-24,2024,910.68,4.46,13.2,28.4,0.363,3.04
2024-04-25,2024,933.53,5.39,14.8,28.0,0.372,2.88
2024-04-26,2024,907.53,0.13,12.0,26.8,0.365,0.89
2024-04-27,2024,912.92,2.17,14.3,28.6,0.383,1.85
2024-04-28,2024,920.59,6.67,11.4,27.9,0.356,2.98
2024-04-29,2024,910.26,5.3,10.4,28.1,0.383,2.97
2024-04-30,2024,930.6,3.62,12.3,26.4,0.339,2.85
2024-05-01,2024,908.67,2.45,13.0,24.4,0.371,3.03
2024-05-02,2024,919.1,0.31,10.7,22.1,0.393,2.39
2024-05-03,2024,903.72,0.28,12.7,23.4,0.425,1.7
2024-05-04,2024,917.77,0.05,11.3,22.6,0.395,1.84
2024-05-05,2024,916.23,1.54,10.2,25.6,0.38,2.35
2024-05-06,2024,921.25,0.96,14.1,24.8,0.397,2.09
2024-05-07,2024,914.8,4.68,10.5,24.6,0.368,3.36
2024-05-08,2024,916.95,2.21,11.2,25.7,0.396,2.03
2024-05-09,2024,937.58,1.3,14.6,28.3,0.38,1.84
2024-05-10,2024,903.25,2.02,12.3,22.3,0.403,2.58
2024-05-11,2024,934.7,0.26,10.5,25.9,0.399,1.75
2024-05-12,2024,890.03,0.58,12.4,22.4,0.387,1.65
2024-05-13,2024,952.29,5.82,10.7,27.7,0.376,2.42
2024-05-14,2024,919.94,3.57,14.6,25.3,0.4,2.16
2024-05-15,2024,912.04,3.31,10.5,22.9,0.379,2.87
2024-05-16,2024,935.93,5.08,14.6,24.0,0.392,3.59
2024-05-17,2024,942.04,0.91,13.9,23.8,0.367,2.55
2024-05-18,2024,939.44,0.36,12.1,26.5,0.37,0.98
2024-05-19,2024,938.02,8.19,13.7,26.5,0.394,4.53
2024-05-20,2024,962.0,1.43,15.0,25.8,0.393,2.21
2024-05-21,2024,940.14,0.61,10.5,27.0,0.382,1.34
2024-05-22,2024,956.97,0.86,11.2,22.1,0.388,2.87
2024-05-23,2024,915.71,4.65,10.7,22.6,0.394,3.33
2024-05-24,2024,924.98,6.87,14.3,24.8,0.389,3.59
2024-05-25,2024,934.87,0.01,13.4,23.0,0.392,2.15
2024-05-26,2024,921.61,1.92,10.6,26.7,0.384,1.61
2024-05-27,2024,891.78,2.23,13.1,23.1,0.395,2.41
2024-05-28,2024,922.21,0.51,11.9,29.0,0.396,1.38
2024-05-29,2024,915.69,1.65,15.9,26.9,0.411,1.93
2024-05-30,2024,912.08,0.46,11.3,26.7,0.371,1.18
2024-05-31,2024,935.46,0.02,13.7,22.5,0.39,1.64
2024-06-01,2024,935.09,0.54,8.6,18.7,0.416,2.21
2024-06-02,2024,950.07,0.11,9.1,21.9,0.4,2.67
2024-06-03,2024,937.29,0.49,7.9,18.7,0.377,3.42
2024-06-04,2024,933.37,0.53,7.4,18.9,0.402,2.37
2024-06-05,2024,942.89,3.68,6.6,17.7,0.392,3.96
2024-06-06,2024,937.52,0.22,5.9,19.6,0.389,3.11
2024-06-07,2024,920.47,1.29,5.6,16.2,0.4,3.3
2024-06-08,2024,957.12,2.19,8.6,16.1,0.402,3.6
2024-06-09,2024,957.56,1.22,4.2,22.0,0.394,2.39
2024-06-10,2024,945.21,0.34,4.7,21.5,0.395,1.82
2024-06-11,2024,945.34,0.19,8.1,21.1,0.422,2.79
2024-06-12,2024,923.76,0.67,7.8,16.6,0.399,3.72
2024-06-13,2024,928.61,0.37,4.8,21.8,0.386,1.99
2024-06-14,2024,934.47,0.18,7.5,18.6,0.394,2.81
2024-06-15,2024,955.68,1.35,6.3,19.4,0.382,3.73
2024-06-16,2024,981.06,0.55,8.9,18.4,0.41,3.45
2024-06-17,2024,933.03,0.94,9.8,19.4,0.426,2.7
2024-06-18,2024,929.86,0.02,8.4,16.1,0.404,3.39
2024-06-19,2024,948.75,0.38,8.4,20.9,0.399,2.06
2024-06-20,2024,957.07,0.01,9.4,20.3,0.384,2.08
2024-06-21,2024,950.23,1.38,6.1,17.6,0.378,3.11
2024-06-22,2024,947.72,1.08,4.2,16.3,0.399,3.99
2024-06-23,2024,933.1,1.75,6.2,18.1,0.407,3.85
2024-06-24,2024,950.09,0.11,6.5,19.8,0.38,2.27
2024-06-25,2024,954.61,0.56,4.8,18.1,0.381,3.42
2024-06-26,2024,962.16,0.28,7.1,19.8,0.406,3.13
2024-06-27,2024,967.69,0.1,5.0,18.3,0.394,3.39
2024-06-28,2024,930.84,1.17,7.3,18.0,0.4,3.38
2024-06-29,2024,949.21,0.2,7.5,19.6,0.406,3.29
2024-06-30,2024,948.73,0.23,5.9,19.9,0.415,2.6
2024-07-01,2024,944.04,0.84,9.1,19.8,0.4,2.33
2024-07-02,2024,959.01,0.45,9.9,17.7,0.403,3.13
2024-07-03,2024,931.27,0.58,7.6,19.5,0.392,2.67
2024-07-04,2024,947.88,0.23,4.2,21.3,0.388,2.42
2024-07-05,2024,956.19,2.64,4.2,20.6,0.387,3.16
2024-07-06,2024,941.81,1.38,7.7,17.1,0.388,3.74
2024-07-07,2024,956.25,0.54,5.0,20.9,0.384,2.02
2024-07-08,2024,959.94,0.41,7.8,17.5,0.381,3.49
2024-07-09,2024,954.52,2.12,9.6,18.6,0.399,3.47
2024-07-10,2024,937.33,0.48,6.0,17.9,0.393,3.33
2024-07-11,2024,961.06,0.18,9.6,20.6,0.4,3.09
